Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank,Pos_Rank,Reg_Rank,State_Rank
Nahjee Gibson,RB,Erial,NJ,5'11'',185,73.0,,,,,,2010,Temple,Temple,158, None,,,
Brian Burns,ATH,Upper Marlboro,MD,5'11'',162,73.0,,,,,,2010,Temple,Temple,,,,,
Anthony Robey,CB,Norristown,PA,5'9'',163,73.0,,,102,,,2010,Temple,Temple, NR, NR,,,
Andrew Cerrett,K,Huntingdon,PA,6'5'',240,73.0,,,37,,,2010,Temple,Temple,,,,,
Deon Miller,WR,Highland Springs,VA,6'6'',200,73.0,,,,,,2010,Temple,Temple,,,,,
Taray Carey,DE,Whitehall,PA,6'4'',211,71.0,,,71,,,2010,Temple,Temple,,,,,
Antonio Belt,WR,Forestville,MD,6'1'',164,71.0,,,,,,2010,Temple,Temple,,,,,
Tyler Johnson,TE,Wanaque,NJ,6'6'',215,70.0,,,,,,2010,Temple,Temple, None, None,,,
Chris Burrell,RB,Ramsey,NJ,5'5'',153,64.0,,,280,,,2010,Temple,Temple, NR, NR,,,
Dante Weaver,DT,New Brunswick,NJ,6'2'',310,,Temple,,,,,2010,Temple,,,,,,
Olaniyi Adewole,ILB,Drexel Hill,PA,6'1'',197,,Temple,,,,,2010,Temple,, None, None,,,
Wyatt Benson,ILB,Haverford,PA,5'11'',218,,Temple,,,,,2010,Temple,, None, None,,,
Sean Daniels,OLB,Blackwood,NJ,6'2'',208,,Temple,,,,,2010,Temple,,,,,,
Connor Reilly,QB,Fairfax,VA,6'3'',182,,Temple,,,,,2010,Temple,,,,,,
Gerald Silvera,WR,West Orange,NJ,6'0'',180,,Temple,,,,,2010,Temple,, None, None,,,
Marquise Goods,CB,Orange,NJ,5'11'',175,,Temple,,,,,2010,Temple,, None, None,,,
Adam Metz,OT,Hummelstown,PA,6'5'',315,,Temple,,,,,2010,Temple,, None, None,,,
Elijah Grant,OT,Piscataway,NJ,6'6'',340,,Temple,,,,,2010,Temple,, None, None,,,
Aaron Hush,DE,Piscataway,NJ,6'4'',215,,Temple,,,,,2010,Temple,,,,,,
Nate Smith,ILB,Highland Park,NJ,6'0'',225,,Temple,,NR,,,2010,Temple,,,,,,
Joe Cenatiempo,OT,Glen Mills,PA,6'7'',315,,Temple,,,,,2010,Temple,, None, None,,,
Jaimen Newman,DE,Chesterfield,VA,6'4'',250,,Temple,,,,,2010,Temple,,,,,,
Zamel Johnson,CB,Staten Island,NY,5'10'',175,,Temple,,,,,2010,Temple,,,,,,
Brandon Smith,OLB,Brunswick,NJ,6'3'',210,,Temple,,,,,2010,Temple,,,,,,
Rod Streater,WR,Burlington,NJ,6'4'',195,,Temple,,,,,2010,Temple,, None, None,,,
Martin Wallace,OT,New York,NY,6'6'',285,,Temple,,,,,2010,Temple,,,,,,
Darryl Shine,WR,Orlando,FL,5'10'',185,,Temple,,,,,2010,Temple,,,,,,
Jamie Gilmore,RB,Citra,FL,5'8'',182,78,Temple,,32,,,2012,Temple,,290,100,,,
Matt Ioannidis,DE,Flemington,NJ,6'3'',245,77,Temple,,,,,2012,Temple,,88,95,,,
Alkwan Williams,OLB,Johnstown,PA,6'0'',210,77,Temple,,,,,2012,Temple,,100,30,,,
Bryan Osei,DE,Abington,PA,6'1'',220,76,Temple,,37,,,2012,Temple,,,,,,
Montrell Dobbs,RB,Ansonia,CT,5'9'',185,76,Temple,,,,,2012,Temple,, None, None,,,
Nate Smith,WR,Warminster,PA,6'0'',185,76,Temple,,135,,,2012,Temple,,147,47,,,
Demetrius Lofton,DE,Fort Washington,MD,6'3'',230,75,Temple,,,,,2012,Temple,, None, None,,,
Raysean Richardson,OLB,Chesapeake,VA,6'1'',190,74,Temple,,,,,2012,Temple,,,,,,
James Whitfield,WR,Fort Myers,FL,5'10'',180,74,Temple,,,,,2012,Temple,,,,,,
Tavon Young,CB,Oxon Hill,MD,5'9'',155,74,Temple,,191,,,2012,Temple,,,,,,
Raymond Korang,OT,Mount Holly,NJ,6'7'',285,74,Temple,,151,,,2012,Temple,,,,,,
Brandon Shippen,CB,Norristown,PA,5'11'',168,74,Temple,,,,,2012,Temple,, None, None,,,
Daquan Steward,S,Stafford,VA,5'9'',175,74,Temple,,116,,,2012,Temple,,,,,,
Romond Deloatch,WR,Hampton,VA,6'5'',207,74,Temple,,181,,,2012,Temple,,213,42,,,
Bret Niederreither,DT,Lewisberry,PA,6'3'',250,74,Temple,,134,,,2012,Temple,,220,64,,,
Kyle Friend,DT,Mechanicsburg,PA,6'1'',280,73,Temple,,137,,,2012,Temple,,,,,,
Averee Robinson,DT,Harrisburg,PA,6'1'',251,73,Temple,,142,,,2012,Temple,,234,67,,,
Shahbaz Ahmed,DE,Haddonfield,NJ,6'4'',217,73,Temple,,,,,2012,Temple,, None, None,,,
Stephaun Marshall,S,Montclair,NJ,6'1'',175,73,Temple,,140,,,2012,Temple,,,,,,
Brandon Peoples,RB,Warminster,PA,5'8'',170,72,Temple,,73,,,2012,Temple,,266,73,,,
Robert Dvorack,FB,Allentown,PA,6'0'',205,72,Temple,,8,,,2012,Temple,,272,77,,,
Ronnie Gillespie,WR,Pennsburg,PA,5'9'',155,69,Temple,,243,,,2012,Temple,,321,87,,,
Avery Ellis,ILB,Montclair,NJ,6'2'',225,69,Temple,,,,,2012,Temple,,,,,,
Damiere Shaw,WR,Springfield,PA,5'8'',154,69,Temple,,245,,,2012,Temple,,328,89,,,
Avery Williams,ATH,Baltimore,MD,5'11'',200,68,Temple,,,,,2012,Temple,, None,,,,
Khalif Herbin,ATH,Montclair,NJ,5'7'',165,68,Temple,,199,,,2012,Temple,,338,55,,,
Michael Kalaman,ILB,Winter Park,FL,6'3'',197,68,Temple,,,,,2012,Temple,, None, None,,,
Jarid Brown,ATH,Washington,DC,5'11'',170,68,Temple,,200,,,2012,Temple,,,,,,
Benjamin Onett,QB,Washington,DC,6'2'',205,67,Temple,,192,,,2012,Temple,,,,,,
Samuel Benjamin,WR,Baltimore,MD,6'0'',191,67,Temple,,281,,,2012,Temple,,,,,,
Zaire Williams,RB,Sicklerville,NJ,5'11'',188,78.0,Temple,,44,,,2013,Temple,,80,22,,,
Buddy Brown,OLB,Williamstown,NJ,6'2'',205,78.0,Temple,,,,,2013,Temple,, None, None,,,
P.J. Walker,QB-PP,Elizabeth,NJ,6'1'',195,77.0,Temple,,,,,2013,Temple,, None, None,,,
Jarred Alwan,ILB,Cherry Hill,NJ,6'1'',225,76.0,Temple,,44,,,2013,Temple,,119,30,,,
Matt Barone,OG,Mckees Rocks,PA,6'3'',280,74.0,Temple,,142,,,2013,Temple,,,,,,
Jim Cooper Jr.,K,Linwood,NJ,6'0'',200,74.0,Temple,,24,,,2013,Temple,,150,35,,,
Shane Rafter,OT,Moorestown,NJ,6'5'',285,73.0,Temple,,109,,,2013,Temple,,152,36,,,
Zachary Grant,WR,Haddonfield,NJ,5'11'',170,72.0,Temple,,,,,2013,Temple,,,,,,
Artrel Foster,ATH,Meadville,PA,6'0'',180,72.0,Temple,,44,,,2013,Temple,,184,72,,,
Shakur Nesmith,WR,Philadelphia,PA,6'3'',195,72.0,Temple,,,,,2013,Temple,,,,,,
Jahad Thomas,ATH,Elizabeth,NJ,5'10'',163,70.0,Temple,,,,,2013,Temple,,,,,,
Jullian Taylor,DE,Williamstown,NJ,6'5'',224,70.0,Temple,,119,,,2013,Temple,,208,45,,,
Tyler Haddock,DT,Mckees Rocks,PA,5'11'',300,69.0,Temple,,121,,,2013,Temple,,219,50,,,
Jihaad Pretlow,ATH,Blairstown,NJ,5'10'',174,67.0,Temple,,,,,2013,Temple,, None, None,,,
Shane Nastahowski,OLB,Greenwich,CT,6'1'',221,67.0,Temple,,,,,2013,Temple,,,,,,
Averee Robinson,DT,Harrisburg,PA,6'1'',260,66.0,Temple,,,,,2013,Temple,, None, None,,,
Cory Crawford,WR,Palmetto,FL,5'11'',174,,Temple,,,,,2013,Temple,,,,,,
Sharif Finch,ILB,Richmond,VA,6'4'',210,,Temple,,,,,2013,Temple,,,,,,
Todd Jeter,CB,Monroeville,PA,6'0'',170,,Temple,,,,,2013,Temple,, None, None,,,
Kiser Terry,DE,Langhorne,PA,6'3'',220,,Temple,,,,,2013,Temple,, None, None,,,
A.J. Sullivan,OT,Avalon,NY,6'4'',265,,Temple,,,,,2013,Temple,, None, None,,,
Semaj Reed,DT,Havertown,PA,6'7'',260,,Temple,,,,,2013,Temple,,,,,,
Brian Carter,DT,Harrisburg,PA,6'2'',260,,Temple,,NR,,,2013,Temple,,,,,,
Leon Johnson,OT,Plainfield,NJ,6'6'',300,,Temple,,NR,,,2013,Temple,, NR, NR,,,
Dion Dawkins,OT,Rahway,NJ,6'5'',287,,Temple,,,,,2013,Temple,, None, None,,,
Paul Layton,K,Burnt Hills,NY,6'1'',215,,Temple,,,,,2013,Temple,, None, None,,,
John Rizzo,FB,Johnstown,PA,6'1'',221,,Temple,,,,,2013,Temple,, None, None,,,
Andrew Gentry,OL,West Richland,WA,"6'7""""",310,77,Notre Dame Prep (Scottsdale, AZ),,,,2014,Temple,,,,,,
Saamuelu Poutasi,OT,Las Vegas,NV,"6'4""""",320,75,Desert Pines HS (Las Vegas, NV),,,,2014,Temple,,,,,,
Tristan Sinclair,DT,Rochester,NY,"6'3""""",310,74,McQuaid Jesuit HS (Rochester, NY),,,,2014,Temple,,,,,,
T.J. Quinn,OG,Haddonfield,NJ,"6'5""""",275,74,Haddonfield Memorial HS (Haddonfield, NJ),,,,2014,Temple,,,,,,
Alvin Smith,WR,Glendale,AZ,"6'1""""",165,73,Ironwood HS (Glendale, AZ),,,,2014,Temple,,,,,,
Dan Carter,LB,Charlotte,NC,"6'3""""",220,71,Charlotte Latin School (Charlotte, NC),,,,2014,Temple,,,,,,
Deon Graham,ATH,Houston,TX,"5'10""""",180,71,North Shore HS (Houston, TX),,,,2014,Temple,,,,,,
