Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank,Pos_Rank,Reg_Rank,State_Rank
Layton Jordan,ATH,McKeesport,PA,6'2'',200.0,,Temple,,NR,,,2018,Temple,, NR, NR,,,
Isaac Moore,OT,Sweden,6'5'',295,,Temple,,,,,,2018,Temple,,,,,,
Jordan Smith,WR,Fort Lauderdale,FL,6'2'',190.0,,Temple,,,,,2018,Temple,, None, None,,,
Jose Barbon,WR,Lancaster,PA,5'11'',180.0,,Temple,,NR,,,2018,Temple,,,,,,
Rock Ya-Sin,CB,Decatur,GA,5'11'',189.0,,Temple,,,,,2018,Temple,, None, None,,,
Tyreke Young,DE,Hilton Head,SC,6'1'',186.0,,Temple,,,,,2018,Temple,, None, None,,,
Jobdariel Gomez,OT,Miami,FL,6'5'',290.0,,Temple,,,,,2018,Temple,,,,,,
Jermaine Donaldson,OT,Voorhees,NJ,6'4'',320,,76.0,,,,,2019,Temple,Temple,,,105,124,27
Thomas Joe-Kamara,S,South Brunswick,NJ,6'1'',186,,75.0,,,,,2019,Temple,Temple,,,,,
Kwesi Evans,WR,Baltimore,MD,6'0'',182,,74.0,,,,,2019,Temple,Temple,,,,,
Re'Mahn Davis,RB,Blairstown,NJ,5'9'',214,,74.0,,,,,2019,Temple,Temple,,,,,
Wisdom Quarshie,OG,Hammonton,NJ,6'1'',311,,73.0,,,,,2019,Temple,Temple,,,,,
Kennique Bonner-Steward,QB-DT,Cornelius,NC,6'3'',208,,73.0,,,,,2019,Temple,Temple,,,,,
M.J. Griffin,CB,Saline,MI,6'0'',185,,73.0,,,,,2019,Temple,Temple,,,,,
Edward Saydee,RB,Philadelphia,PA,5'11'',188,,72.0,,,,,2019,Temple,Temple,,,,,
Jordan Magee,ATH,Dover,DE,6'3'',205,,,,,,,2019,Temple,Temple,,,,,
Simon Abedimungu,DE,Rockville,MD,6'4'',230,,,,,,,2019,Temple,Temple,,,,,
Yvandy Rigby,OLB,New Berlin,NY,6'1'',205,,,,,,,2019,Temple,Temple,,,,,
Chris Fowx,OT,White Plains,NY,6'6'',300,,,,,,,2019,Temple,Temple,,,,,
Nathaniel Wyatt,ATH,Hammonton,NJ,6'0'',175,,,,,,,2019,Temple,Temple,,,,,
Jacoby Sharpe,DE,Sugar Hill,GA,6'2'',240,,,,,,,2019,Temple,Temple,,,,,
Victor Stoffel,OT,Sweden,EUR,6'6'',240,,,,,,,2019,Temple,Temple,,,,,
Mahmud Diobate,ATH (JC),Philadelphia,PA,6'1'',180,,,,,,,2019,Temple,Temple,,,,,
Corey Palmer,WR,Bradenton,FL,6'1'',180,78.0,Temple,,90,242,85,2021,Temple,,,,,,
Malik Cooper,WR,Philadelphia,PA,5'9'',165,75.0,Temple,,172,137,28,2021,Temple,,,,,,
Andrew Garwo,CB,Fairless Hills,PA,5'11'',170,74.0,Temple,,109,,,2021,Temple,,,,,,
Jaylen Martin,CB,Tampa,FL,6'1'',165,74.0,Temple,,130,632,208,2021,Temple,,,,,,
Justin Lynch,QB-DT,Chicago,IL,6'1'',195,73.0,Temple,,33,,,2021,Temple,,,,,,
Jordan Laudato,DE,West Chester,PA,6'5'',240,73.0,Temple,,175,204,42,2021,Temple,,,,,,
Jaden Coffen,ATH,Washington,DC,6'2'',195,72.0,Temple,,151,214,10,2021,Temple,,,,,,
Balansama Kamara,OLB,Philadelphia,PA,6'3'',220,72.0,Temple,,162,,,2021,Temple,,,,,,
Coleman Jeffcoat,ATH,Charlotte,NC,6'3'',205,72.0,Temple,,154,787,82,2021,Temple,,,,,,
Antonio Barber,WR,Cornelius,NC,5'11'',185,72.0,Temple,,268,834,87,2021,Temple,,,,,,
Jimto Obidegwu,OT,,,6'5'',285,71.0,Temple,,179,248,,2021,Temple,,,,,,
Jalen McMurray,CB,Washington,DC,5'11'',170,70.0,Temple,,196,254,14,2021,Temple,,,,,,
Keshaun Jones,OT,Centralia,IL,6'5'',255,70.0,Temple,,186,,,2021,Temple,,,,,,
Jalen Satchell,DE,Rockville,MD,6'2'',250,70.0,Temple,,232,,,2021,Temple,,,,,,
Dwan Mathis,QB-DT,,,6'6'',205,,Temple,,,,,2021,Temple,,,,,,
Amad Anderson,WR,West Lafayette,IN,5'11'',175,,Temple,,,,,2021,Temple,,,,,,
Keyshawn Paul,CB,Storrs,CT,6'0'',191,,Temple,,,,,2021,Temple,,,,,,
Ra'Von Bonner,RB,Champaign,IL,5'11'',220,,Temple,,,,,2021,Temple,,,,,,
Will Rodgers,DE,Pullman,WA,6'4'',249,,Temple,,,,,2021,Temple,,,,,,
Lancine Turay,DE,Irvington,NJ,6'6'',275,,Temple,,,,,2021,Temple,,,,,,
Iverson Clement,RB,Mount Holly,NJ,5'11'',200,,Temple,,,,,2021,Temple,,,,,,
Xach Gill,DT,Wake Forest,NC,6'5'',290,,Temple,,,,,2021,Temple,,,,,,
Tra Thomas,OLB,Millersville,MD,6'4'',225,,77,,2,,,2022,Temple,Temple,,,,,
Elijah Warner,QB-PP,Phoenix,AZ,6'0'',200,,76,,43,,,2022,Temple,Temple,,,,,
Sam Martin Jr.,ATH,Staten Island,NY,5'11'',175,,76,,100,,,2022,Temple,Temple,,,,,
Jackson Pruitt,OG,Detroit,MI,6'5'',285,,76,,51,,,2022,Temple,Temple,,,,,
London Hall,S,Clearwater,FL,6'1'',205,,75,,525,,,2022,Temple,Temple,,,,,
Zamar Grove,DE,Irvington,NJ,6'5'',235,,75,,121,148,24,2022,Temple,Temple,,,,,
Corey Yeoman,OLB,Clearwater,FL,6'3'',225,,74,,108,622,195,2022,Temple,Temple,,,,,
Khalif Kemp,DE,Philadelphia,PA,6'4'',225,,73,,151,,,2022,Temple,Temple,,,,,
Elijah Deravil,CB,Miami,FL,6'1'',190,,73,,18, NR, NR,2022,Temple,Temple,,,,,
Jacob Hollins,ILB,Fresno,CA,6'2'',225,,73,,6,,,2022,Temple,Temple,,,,,
Reese Clark,TE-H,Philadelphia,PA,6'4'',200,,72,,48,,,2022,Temple,Temple,,,,,
Darrien Lewis,OLB,Baltimore,MD,6'2'',230,,72,,140,,,2022,Temple,Temple,,,,,
Aaron Jones,DT,Springfield,MA,6'1'',255,,72,,129,,,2022,Temple,Temple,,,,,
Antwone Santiago,OLB,Meriden,CT,6'3'',210,,NR,,,,,2022,Temple,Temple,,,,,
Dominick Hill,CB,Orlando,FL,6'0'',190,,TR,,,,,2022,Temple,Temple,,,,,
Darvon Hubbard,RB,Surprise,AZ,6'0'',210,,TR,,,,,2022,Temple,Temple,,,,,
Tyler Stewart,#84 ATH,Gray,GA,5'9'',175,77.0,Temple,,84,425,112,2024,Temple,,,,,,
Adrian Laing,#133 CB,Paramus,NJ,6'1'',175,75.0,Temple,,133,,,2024,Temple,,,,,,
Denzel Chavis,#164 CB,Union City,NJ,6'0'',175,74.0,Temple,,164,,,2024,Temple,,,,,,
Bryson Goodwin,#220 WR,Tampa,FL,6'1'',180,73.0,Temple,,220,806,250,2024,Temple,,,,,,
Russell Sykes,#186 DE,Rolesville,NC,6'3'',240,72.0,Temple,,186,841,63,2024,Temple,,,,,,
Dimonyai Lacey,#18 DT (JC),Eufaula,AL,6'3'',290,70.0,Temple,,18,,,2024,Temple,,,,,,
Chris Dietrich,QB-PP,Sparta,NJ, ,6'3'',215.0,,,,,,2024,Temple,Temple,,,,,
Daniel Everet,TE-Y,Germany,EUR,6'4'',235,,Temple,,NR,NR,NR,2024,Temple,,,,,,
Evan Dailey,OT,Gahanna,OH,6'5'',285,,Temple,,NR,NR,NR,2024,Temple,,,,,,
Wesley Brown,OLB,Ellenwood,GA,6'2'',195,,Temple,,,,,2024,Temple,,,,,,
Sultan Badmus,DE,Bowie,MD,6'3'',235,,Temple,,,,,2024,Temple,,,,,,
Cameron Jones,DE,Leonardtown,MD,6'4'',230,,Temple,,,,,2024,Temple,,,,,,
Tyree Alualu,ATH,Wexford,PA,6'0'',205,,Temple,,NR,,,2024,Temple,,,,,,
Davray Venu,OG,Quebec,CAN,6'4'',290,,Temple,,,,,2024,Temple,,,,,,
Giakoby Temple,OG,Morristown,NJ,6'4'',270,,Temple,,,,,2024,Temple,,,,,,
Devonta Owens,CB (JC),Tulsa,OK,5'11'',185,,Temple,,NR,NR,NR,2024,Temple,,,,,,
Sekou Kromah,DT (JC),East Orange,NJ,6'3'',290,,Temple,,,,,2024,Temple,,,,,,
Linus Lindberg,OT (JC),Sweden,EUR,6'4'',300,,Temple,,,,,2024,Temple,,,,,,
Tyler Lepolo,ILB (JC),Oakley,CA,6'0'',230,,Temple,,,,,2024,Temple,,,,,,
Mausa Palu,OG (JC),Valencia,CA,6'4'',330,,Temple,,,,,2024,Temple,,,,,,
Katin Surprenant,OLB (JC),Upland,CA,6'2'',235,,Temple,,NR,NR,NR,2024,Temple,,,,,,
Eric Stuart,OLB (JC),Menlo Park,CA,6'2'',225,,Temple,,NR,,,2024,Temple,,,,,,
Terrez Worthy,RB (JC),Scranton,PA,5'10'',185,,Temple,,,,,2024,Temple,,,,,,
Khalil Poteat,DE (JC),Dodge City,KS,6'4'',265,,Temple,,,,,2024,Temple,,,,,,
Evan Simon,QB-PP (TR),Mount Joy,PA,6'3'',205,,Temple,,,,,2024,Temple,,,,,,
