Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School
Jermaine Kearse,WR,Lakewood,WA,6'0'',168,,74.0,,,,,2008,Washington,,,Washington
Mykenna Ikehara,OG,Honolulu,HI,6'3'',270,,,,72,,,2008,Washington,,,Washington
Tony Gobern,ATH,Fair Oaks,CA,5'11'',178,,72.0,,48,,,2008,Washington,,,Washington
Justin Glenn,CB,Mukilteo,WA,5'10'',185,,76.0,,99.0,,,2008,Washington,,,Washington
David Freeman,RB,Inglewood,CA,5'7'',179,,75.0,,6.0,,,2008,Washington,,,Washington
Johri Fogerson,OLB,Seattle,WA,6'1'',186,,66.0,,11,,,2008,Washington,NR,NR,Washington
Terrance Dailey,FB,Vacaville,CA,5'9'',210,,75.0,,9,,,2008,Washington,,,Washington
Allen Carroll,OG,Oakland,CA,6'4'',286,,80.0,,NR,,,2008,Washington,NR,,Washington
Cody Bruns,WR,Prosser,WA,5'11'',170,,76.0,,103,,,2008,Washington,,,Washington
Demetrius Bronson,RB,Kent,WA,5'10'',197,,75.0,,34,,,2008,Washington,NR,NR,Washington
Dominique Blackman,QB,Carson,CA,6'5'',242,,77.0,,,,,2008,Washington,,,Washington
James Johnson,ATH,Escondido,CA,6'0'',183,77.0,Washington,,, None, None,2009,Washington,,,
Nathan Fellner,S,Fresno,CA,6'0'',200,77.0,Washington,,,,,2009,Washington,,,
Marlion Barnett,TE,Corona,CA,6'2'',202,75.0,Washington,,64,,,2009,Washington,,,
Keith Price,ATH,Bellflower,CA,6'1'',174,75.0,Washington,,120, None, None,2009,Washington,,,
Desmond Trufant,CB,Tacoma,WA,6'0'',170,74.0,Washington,,74,,,2009,Washington,,,
Kenneth Pinkard,S,Dallas,TX,5'10'',166,73.0,Washington,,160,,,2009,Washington,,,
Kimo Makaula,ATH,Honolulu,HI,6'2'',225,67.0,Washington,,192,,,2009,Washington,,,
Andru Pulu,DE,Federal Way,WA,6'3'',235,66.0,Washington,,, None, None,2009,Washington,,,
Talia Crichton,DE,Lakewood,CA,6'4'',245,,Washington,,,,,2009,Washington,,,
Will Shamburger,S,Bellflower,CA,6'0'',180,,Washington,,, None, None,2009,Washington,,,
Tim Tucker,ILB,Harbor City,CA,6'2'',240,,Washington,,, None, None,2009,Washington,,,
Semisi Tokolahi,DT,Hilo,HI,6'3'',290,,Washington,,, None, None,2009,Washington,,,
Chris Robinson,DT,Tustin,CA,6'1'',270,,Washington,,NR,,,2009,Washington,,,
Jordan Wallace,OLB,Sacramento,CA,6'0'',210,,Washington,,,,,2009,Washington,,,
Will Mahan,K (JC),Bakersfield,CA,Bakersfield College,6'0'',185.0,,,NR,,,2009,Washington,,,Washington
David Batts,S (JC),Lynwood,CA,El Camino College,6'2'',200.0,,,NR,,,2009,Washington,,,Washington
Johnny Tivao,DT (JC),Paramount,CA,Cerritos College,6'0'',330.0,,,NR, NR, NR,2009,Washington,,,Washington
Dominique Gaisie,CB (JC),San Bernardino,CA,Mt. San Antonio College,5'10'',175.0,,,, None, None,2009,Washington,,,Washington
Daniel Mafoe,OG (JC),Carson,CA,El Camino College,6'4'',320.0,,,,,,2009,Washington,,,Washington
Dorson Boyce,TE (JC),Bayside,NY,Allan Hancock College,6'2'',250.0,,,, None, None,2009,Washington,,,Washington
Sean Parker,S,Harbor City,CA,6'1'',186,5,82,Washington,5,9,7,2010,Washington,,,
Jamaal Kearse,WR,Lakewood,WA,6'2'',195,4,80,Washington,30,,,2010,Washington,,,
Nick Montana,QB,Concord,CA,6'2'',177,4,79,Washington,13,,,2010,Washington,,,
Sione Potoa'e,DT,Lakewood,WA,6'3'',280,4,79,Washington,27,,,2010,Washington,,,
Melvin Davis,ATH,Harbor City,CA,6'2'',225,4,79,Washington,19,39,28,2010,Washington,,,
Josh Shirley,OLB,Fontana,CA,6'3'',210,4,79,Washington,19,41,30,2010,Washington,,,
Deontae Cooper,RB,Perris,CA,6'1'',185,4,79,Washington,50,,,2010,Washington,,,
Darius Waters,DE,Lakewood,WA,6'2'',215,4,78,Washington,60,,,2010,Washington,,,
Kevin Smith,ATH,Compton,CA,6'1'',200,4,78,Washington,64,,,2010,Washington,,,
Hauoli Jamora,DE,Kahuku,HI,6'2'',230,4,78,Washington,23,,,2010,Washington,,,
