Name,Pos,City,State,Height,Weight,Grade,University,Year,Team,Stars,Pos_rank,Reg_rank,State_rank, Reg_rank, State_rank,University 
Brandon Jacobs,RB,Lilburn,GA,6'1'',230.0,,Auburn,2009,Auburn,77.0,314,80,64,,,
John Sullen,OT,Auburn,AL,6'5'',338.0,,Auburn,2009,Auburn,76.0,56,328,,,,
Aubrey Phillips,OT,Olive Branch,MS,6'6'',300.0,,Auburn,2009,Auburn,75.0,480,,,,,
Josh Jackson,DT,Gainesville,GA,6'1'',260.0,,Auburn,2009,Auburn,74.0,,,,,,
Clint Moseley,QB,Leroy,AL,6'3'',190.0,,Auburn,2009,Auburn,73.0,111,628,NR,,,
Andre Harris,OG,Hampton,GA,6'4'',327.0,,Auburn,2009,Auburn,70.0,193,,,,,
Anthony Gulley,ATH,Brantley,AL,5'11'',180.0,,Auburn,2009,Auburn,67.0,194,723,NR,,,
Robert Cooper,,Daphne,AL,6'4'',204.0,,Auburn,2009,Auburn,,NR,,,,,
Tyler Knight,OT,Leesburg,GA,6'4'',245.0,,Auburn,2009,Auburn,,,,,,,
Eltoro Freeman,OLB,Alexander City,AL,6'0'',218.0,,Auburn,2009,Auburn,,NR,NR,NR,,,
Nick Fairley,DT,Mobile,AL,6'4'',280.0,,Auburn,2009,Auburn,,,,,,,
Demond Washington,RB,Tallassee,AL,5'9'',185.0,,Auburn,2009,Auburn,,NR,,,,,
Taikwon Paige,CB,Milledgeville,GA,5'10'',175.0,,Auburn,2009,Auburn,,,,,,,
Michael Dyer,RB,Little Rock,AR,5'9'',200,87.0,Auburn,2010,Auburn,5.0,1,NR,NR,,,
Trovon Reed,ATH,Thibodaux,LA,6'0'',172,83.0,Auburn,2010,Auburn,4.0,,6,39,,,
Antonio Goodwin,ATH,Atlanta,GA,6'1'',170,82.0,Auburn,2010,Auburn,4.0,47th,,,,,
Eric Mack,OG,Saint Matthews,SC,6'4'',318,81.0,Auburn,2010,Auburn,4.0,2.0,,,,,
Corey Lemonier,DE,Hialeah,FL,6'4'',221,81.0,Auburn,2010,Auburn,4.0,94th,,,,,
Shaun Kitchens,ATH,College Park,GA,6'3'',213,81.0,Auburn,2010,Auburn,4.0,98th,,,,,
LaDarius Owens,DE,Bessemer,AL,6'2'',225,80.0,Auburn,2010,Auburn,4.0,138th,,,,,
Ed Christian,OT,Valdosta,GA,6'5'',290,80.0,Auburn,2010,Auburn,4.0,18,,,,,
Cody Parkey,K,Jupiter,FL,6'0'',190,80.0,Auburn,2010,Auburn,4.0,1,,,,,
Jeffrey Whitaker,DT,Warner Robins,GA,6'3'',285,79.0,Auburn,2010,Auburn,4.0,17,,,,,
Jawara White,OLB,Troy,AL,6'2'',217,79.0,Auburn,2010,Auburn,4.0,17, NR, NR,,,
Jake Holland,ILB,Pelham,AL,6'1'',220,79.0,Auburn,2010,Auburn,4.0,8,,,,,
Steven Clark,K,Weatherby Lake,MO,6'4'',230,79.0,Auburn,2010,Auburn,4.0,4,,,,,
Craig Sanders,DE,Ariton,AL,6'4'',230,79.0,Auburn,2010,Auburn,4.0,42,,,,,
Dakota Mosley,TE,Little Rock,AR,6'4'',250,79.0,Auburn,2010,Auburn,4.0,14,,,,,
Kenneth Carter,DT,Greenville,AL,6'4'',265,78.0,Auburn,2010,Auburn,4.0,35,,,,,
Shon Coleman,OT,Olive Branch,MS,6'6'',270,78.0,Auburn,2010,Auburn,4.0,31,,,,,
Jeremy Richardson,WR,Springville,AL,6'3'',190,78.0,Auburn,2010,Auburn,4.0,62,,,,,
Ryan White,ATH,Tallahassee,FL,5'11'',180,78.0,Auburn,2010,Auburn,4.0,,,,,,
Jonathan Mincy,CB,Decatur,GA,5'11'',169,78.0,Auburn,2010,Auburn,4.0,,,,,,
Chris Davis,ATH,Birmingham,AL,5'10'',175,76.0,Auburn,2010,Auburn,3.0,98,,,,,
Chad Slade,OG,Moody,AL,6'5'',315,75.0,Auburn,2010,Auburn,3.0,,,59,,,
Demetruce McNeal,S,College Park,GA,6'1'',177,75.0,Auburn,2010,Auburn,3.0,,,,,,
Justin Delaine,DE,Linden,AL,6'5'',208,75.0,Auburn,2010,Auburn,3.0,111,,,,,
Ryan Smith,ATH,Cordova,AL,6'1'',195,74.0,Auburn,2010,Auburn,3.0,171,NR,NR,,,
Jessel Curry,FB,Buford,GA,6'2'',200,74.0,Auburn,2010,Auburn,3.0,11,NR,NR,,,
Ladarious Phillips,ATH,Roanoke,AL,6'0'',273,,Auburn,2010,Auburn,,,,,,,
Tunde Fariyike,OG,Thomaston,GA,6'3'',290,,Auburn,2010,Auburn,,,,,,,
Joel Bonomolo,DE,Metairie,LA,6'3'',245,,Auburn,2010,Auburn,,NR,,,,,
Roszell Gayden,OT,New Hope,MN,6'7'',310,,Auburn,2010,Auburn,,,,,,,
Cameron Newton,QB,Atlanta,GA,6'6'',245,,Auburn,2010,Auburn,,,,,,,
Brandon Mosley,OT,Jefferson,GA,6'5'',280,,Auburn,2010,Auburn,,NR,NR,NR,,,
OT,Chandler,AZ,6'4'',290,86,Auburn,,2011,Auburn,,,,,,,
DT,Columbus,GA,6'3'',285,82,Auburn,,2011,Auburn,,,,,,,
ATH,LaGrange,GA,5'11'',180,82,Auburn,,2011,Auburn,,,,,,,
QB,Springdale,AR,6'3'',215,81,Auburn,,2011,Auburn,,,,,,,
S,Valley,AL,6'2'',185,81,Auburn,,2011,Auburn,,,,,,,
OC,Spanish Fort,AL,6'3'',275,81,Auburn,,2011,Auburn,,,,,,,
TE,Fort Meade,FL,6'4'',250,81,Auburn,,2011,Auburn,,,,,,,
OG,Marietta,GA,6'3'',296,80,Auburn,,2011,Auburn,,,,,,,
OG,Thibodaux,LA,6'5'',300,80,Auburn,,2011,Auburn,,,,,,,
S,Miami,FL,5'10'',190,80,Auburn,,2011,Auburn,,,,,,,
ATH,Greenwood,MS,6'0'',177,80,Auburn,,2011,Auburn,,,,,,,
ATH,Matthews,NC,6'2'',210,80,Auburn,,2011,Auburn,,,,,,,
DT,Bear,DE,6'5'',275,80,Auburn,,2011,Auburn,,,,,,,
CB,Leeds,AL,6'1'',180,80,Auburn,,2011,Auburn,,,,,,,
DE,Mobile,AL,6'2'',256,80,Auburn,,2011,Auburn,,,,,,,
RB,Lake Worth,FL,5'9'',185,79,Auburn,,2011,Auburn,,,,,,,
ATH,Suwanee,GA,6'5'',220,79,Auburn,,2011,Auburn,,,,,,,
S,Gadsden,AL,6'2'',210,78,Auburn,,2011,Auburn,,,,,,,
DE,Plantersville,AL,6'5'',235,78,Auburn,,2011,Auburn,,,,,,,
OT,Olive Branch,MS,6'6'',280,78,Auburn,,2011,Auburn,,,,,,,
DE,Mobile,AL,6'3'',245,78,Auburn,,2011,Auburn,,,,,,,
WR,Leroy,AL,6'2'',175,78,Auburn,,2011,Auburn,,,,,,,
WR,Hoover,AL,6'3'',190,77,Auburn,,2011,Auburn,,,,,,,
OLB,Tucker,GA,6'2'',190,77,Auburn,,2011,Auburn,,,,,,,
OLB,Sweet Water,AL,6'2'',215,76,Auburn,,2011,Auburn,,,,,,,
RB,Bradenton,FL,5'9'',195,TRAuburn,,,2011,Auburn,,,,,,,
