Name,Pos,City,State,Height,Weight,Grade,University,Year,Team,Stars,Pos_rank,Reg_rank,State_rank, Reg_rank, State_rank,University 
Justin Osborne,OT,Bradenton,FL,6'4'',250,78,Auburn,2019,Auburn,,53,803,170,,,
Nehemiah Pritchett,ATH,Jackson,AL,6'0'',170,78,Auburn,2019,Auburn,,,,,,,
Kameron Brown,ILB,Sugar Hill,GA,6'0'',240,70,Auburn,2019,Auburn,,,,,,,
Tank Bigsby,RB,Hogansville,GA,6'0'',205,Auburn,,2020,Auburn,88.0,2,,,9,5,
Wesley Steiner,OLB,Warner Robins,GA,Houston County High School,6'0'',86,Auburn,2020,Auburn,220.0,4.0,,,19.0,7.0,
Christopher Thompson Jr.,S,Duncanville,TX,Duncanville High School,6'2'',84,Auburn,2020,Auburn,200.0,2,,,,,
Zykeivous Walker,DE,Ellaville,GA,Schley High School,6'4'',84,Auburn,2020,Auburn,257.0,10,,,43,10,
Kobe Hudson,WR,LaGrange,GA,Troup County Comprehensive High Sch,6'1'',84,Auburn,2020,Auburn,186.0,,,,17,12,
Ze'Vian Capers,WR,Cumming,GA,Denmark High School,6'3'',83,Auburn,2020,Auburn,190.0,4,,,64,23,
Ladarius Tennison,S,Rockledge,FL,Rockledge High School,5'9'',83,Auburn,2020,Auburn,190.0,22,,,,,
J.J. Evans,WR,Montevallo,AL,Montevallo High School,6'2'',83,Auburn,2020,Auburn,180.0,19,,,,,
Jay Hardy,DE,Chattanooga,TN,The McCallie School For Boys,6'4'',82,Auburn,2020,Auburn,260.0,8,,,,,
Desmond Tisdol,ILB,Rochelle,GA,Wilcox County High School,6'0'',82,Auburn,2020,Auburn,215.0,13,,,,,
Eric Reed Jr.,S,Shreveport,LA,Calvary Baptist Academy,6'0'',81,Auburn,2020,Auburn,203.0,,,, None, None,
Malcolm Johnson Jr.,WR,Alexandria,VA,St. Stephen's & St. Agnes School,6'1'',81,Auburn,2020,Auburn,180.0,25,,,129,14,
Cameron Riley,OLB,Evergreen,AL,Hillcrest High School,6'3'',80,Auburn,2020,Auburn,210.0,1,,,,,
Kilian Zierer,OT,Munich,Germany-EUR,College of the Canyons,6'7'',80,Auburn,2020,Auburn,290.0,24,,,,,
Jeremiah Pegues,ATH,Oxford,MS,Oxford High School,6'2'',80,Auburn,2020,Auburn,264.0,12,,,140,29,
Tate Johnson,OG,Hogansville,GA,Callaway High School,6'3'',80,Auburn,2020,Auburn,310.0,11th,,, NR, NR,
Marco Domio,CB,Brenham,TX,Blinn College,6'2'',80,Auburn,2020,Auburn,190.0,13,,,,,
Jeremiah Wright,OG,Selma,AL,Selma High School,6'5'',80,Auburn,2020,Auburn,315.0,2,,,,,
Brenden Coffey,OT,Paradise,CA,Butte College,6'6'',80,Auburn,2020,Auburn,275.0,32,,,154,32,
Romello Height,OLB,Dublin,GA,Dublin High School,6'4'',80,Auburn,2020,Auburn,220.0,13,,,157,60,
Chayil Garnett,QB-DT,Lakeland,FL,Lakeland High School,6'1'',80,Auburn,2020,Auburn,195.0,4,,,,,
Brandon Frazier,TE-H,McKinney,TX,McKinney North High School,6'7'',80,Auburn,2020,Auburn,231.0,21,,,191,43,
Avery Jernigan,OG,Blackshear,GA,Pierce County High School,6'3'',79,Auburn,2020,Auburn,281.0,74,,,,,
Elijah Canion,WR,Hollywood,FL,Chaminade-Madonna College Preparatory School,6'3'',79,Auburn,2020,Auburn,195.0,,,,,,
Deandre Butler,DE,Covington,GA,Independence Community College,6'4'',79,Auburn,2020,Auburn,280.0,42,,,,,
Daniel Foster-Allen,DE,Mobile,AL,Saint Paul's Episcopal School,6'4'',79,Auburn,2020,Auburn,235.0,6,,, None, None,
Marquis Burks,DT,Chicago,IL,Iowa Central Community College,6'5'',78,Auburn,2020,Auburn,275.0,,,,,,
Dylan Brooks,DE,Roanoke,AL,6'5'',225,89.0,Auburn,2021,Auburn,5.0,5,,,8,1,
Lee Hunter,DT,Prichard,AL,6'5'',290,86.0,Auburn,2021,Auburn,7.0,7,,,28,3,
Ahmari Harvey,S,Tallahassee,FL,5'11'',175,83.0,Auburn,2021,Auburn,5.0,5,,,,,
Marquis Robinson,DT,Milton,FL,6'3'',285,83.0,Auburn,2021,Auburn,14.0,211,,,89,33,
Dematrius Davis,QB-DT,Houston,TX,5'11'',190,83.0,Auburn,2021,Auburn,4.0,4,,,42,34,
Hal Presley,WR,Arlington,TX,6'3'',185,80.0,Auburn,2021,Auburn,57.0,57,,,70,56,
Tar'varish Dawson,CB,Lehigh Acres,FL,5'11'',170,80.0,Auburn,2021,Auburn,22.0,52,,,94,6,
Tobechi Okoli,DE,Kansas City,MO,6'5'',250,79.0,Auburn,2021,Auburn,52.0,11,,, None, None,
Joko Willis,OLB,LaGrange,GA,6'3'',215,79.0,Auburn,2021,Auburn,1.0,48,,,221,32,
Colby Smith,OT,Wentworth,NC,6'7'',280,78.0,Auburn,2021,Auburn,48.0,10,,,115,89,
Landen King,TE-H,Humble,TX,6'5'',210,78.0,Auburn,2021,Auburn,10.0,63,,,236,45,
Ian Mathews,DE,Columbus,GA,6'5'',265,78.0,Auburn,2021,Auburn,63.0,41,,,256,22,
Juwon Gaston,S,Montgomery,AL,5'11'',190,78.0,Auburn,2021,Auburn,41.0,45,,,329,113,
Garner Langlo,OG,Ocala,FL,6'6'',270,77.0,Auburn,2021,Auburn,45.0,57,,,,,
Jarquez Hunter,RB,Philadelphia,MS,5'10'',190,77.0,Auburn,2021,Auburn,57.0,5,,, NR,29,
Kamal Hadden,CB,River Rouge,MI,6'2'',185,76.0,Auburn,2021,Auburn,5.0,132,,,,,
Armani Diamond,CB,Eight Mile,AL,5'11'',170,74.0,Auburn,2021,Auburn,132.0,159,,,897,37,
Cayden Bridges,S,Magee,MS,6'2'',180,71.0,Auburn,2021,Auburn,159.0,,,, None,,
Andrew Leota,DE,Asheville,NC,6'3'',225,,Auburn,2021,Auburn,,,,, None, None,
Dreshun Miller,CB,Kennesaw,GA,6'1'',192,,Auburn,2021,Auburn,,,,,,,
Robert Woodyard,OLB,Mobile,AL,6'1'',210,83,Auburn ,2022,Auburn,4.0,12,,,58,9,
JaDarian Rhym,CB,Valdosta,GA,6'1'',170,82,Auburn ,2022,Auburn,4.0,,,, None, None,
Holden Geriner,QB-PP,Savannah,GA,6'3'',210,82,Auburn ,2022,Auburn,4.0,6,,,79,19,
Austin Ausberry,CB,Baton Rouge,LA,6'0'',200,82,Auburn ,2022,Auburn,4.0,23,,,,,
Tre Donaldson,S,Tallahassee,FL,6'0'',190,82,Auburn ,2022,Auburn,4.0,16,,,98,29,
Eston Harris Jr,OT,Opelika,AL,6'5'',260,80,Auburn ,2022,Auburn,4.0,30,,,,,
Omari Kelly,ATH,Trussville,AL,6'2'',180,80,Auburn ,2022,Auburn,4.0,30,,,156,16,
Jay Fair,WR,Heath,TX,5'11'',175,80,Auburn ,2022,Auburn,4.0,53,,,78,57,
Damari Alston,RB,College Park,GA,5'11'',195,79,Auburn ,2022,Auburn,4.0,35,,,214,48,
Caleb Wooden,S,Lawrenceville,GA,6'2'',185,79,Auburn ,2022,Auburn,4.0,32,,,,,
Camden Brown,WR,Fort Lauderdale,FL,6'3'',190,78,Auburn ,2022,Auburn,4.0,98,,,269,90,
Micah Riley-Ducker,TE-Y,Bellevue,NE,6'5'',240,78,Auburn ,2022,Auburn,4.0,16,,,,,
Powell Gordon,OLB,Auburn,AL,6'2'',210,78,Auburn ,2022,Auburn,4.0,55,,,357,32,
Enyce Sledge,DT,Monroe,LA,6'3'',310,77,Auburn ,2022,Auburn,4.0,397,,,70,36,
Alex McPherson,K,Fort Payne,AL,5'10'',160,77,Auburn ,2022,Auburn,4.0,1,,,413,37,
Kayin Lee,CB,Ellenwood,GA,5'11'',170,,Auburn,2023,Auburn,82.0,22,94,14,,,
Keldric Faulk,DE,Highland Home,AL,6'6'',245,,Auburn,2023,Auburn,82.0,27,108,14,,,
Sylvester Smith,S,Munford,AL,5'11'',195,,Auburn,2023,Auburn,82.0,,,,,,
Daquayvious Sorey,WR,Chipley,FL,6'2'',185,,Auburn,2023,Auburn,81.0,29,,,,,
Jeremiah Cobb,RB,Montgomery,AL,5'11'',185,,Auburn,2023,Auburn,81.0,278,140,18,,,
Terrance Love,S,Fairburn,GA,6'2'',195,,Auburn,2023,Auburn,81.0,20,142,26,,,
Darron Reed,DE,Columbus,GA,6'5'',260,,Auburn,2023,Auburn,80.0,48,178,31,,,
