Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
James Davis,OG,Omaha,NE,6'3'',310,75.0,Ohio,,107,,,2009,Ohio,226,5,
John Taylor,OT,North Olmsted,OH,6'5'',265,69.0,Ohio,,151,,,2009,Ohio,,,
Jeremy Green,WR,Keyser,WV,6'1'',175,68.0,Ohio,,198,,,2009,Ohio,,,
Jamil Shaw,S,Alexandria,VA,6'0'',175,66.0,Ohio,,413,,,2009,Ohio, None, None,
Greg Davison,FB,Elyria,OH,6'2'',220,64.0,Ohio,,,,,2009,Ohio,,,
Nico Price,ILB,McKeesport,PA,6'0'',230,,Ohio,,,,,2009,Ohio, NR, NR,
Tyler Tettleton,QB,Norman,OK,6'0'',188,,Ohio,,,,,2009,Ohio,,,
Gary Fortune,S,Indian Head,MD,6'0'',230,,Ohio,,,,,2009,Ohio,,,
Skyler Allen,OT,Mechanicsville,PA,6'4'',270,,Ohio,,,,,2009,Ohio,,,
Carl Jones,DE,Arlington,TX,6'2'',250,,Ohio,,NR,,,2009,Ohio,,,
Mario Dovell,ATH,Columbus,OH,6'0'',175,,Ohio,,,,,2009,Ohio, None, None,
Dylan Reda,ILB,San Clemente,CA,6'2'',225,,Ohio,,NR,,,2009,Ohio, NR, NR,
Ryan Boykin,RB,Woodstock,GA,6'2'',205,,Ohio,,,,,2009,Ohio, None, None,
Troy Hill,TE,New Kensington,PA,6'5'',210,,Ohio,,,,,2009,Ohio,,,
Jeffrey Hutchinson,TE,Boca Raton,FL,6'3'',240,,Ohio,,,,,2009,Ohio,,,
Sam Johnson,OG,Baltimore,OH,6'3'',305,,Ohio,,,,,2009,Ohio,,,
Jelani Wosely,OLB,Staten Island,NY,6'2'',205,,Ohio,,,,,2009,Ohio,,,
Phillip Bates,QB,Omaha,NE,6'2'',220,,Ohio,,,,,2009,Ohio, None, None,
Kadre Pinder,OG,Fort Scott,KS,6'2'',325,,Ohio,,,,,2009,Ohio,,,
Jake Schany,OLB,Blair,NE,6'2'',215.0,77.0,Ohio,,,,,2012,Ohio, None, None,
Greg Windham,QB,Tampa,FL,6'1'',190.0,74.0,Ohio,,,,,2012,Ohio,620,220,
Mike Roberts,TE,Cleveland,OH,6'4'',240.0,74.0,Ohio,,82,,,2012,Ohio,198,,
Johnny Tanner,DE,Cincinnati,OH,6'3'',230.0,74.0,Ohio,,,,,2012,Ohio,,,
Sebastian Smith,S,Pickerington,OH,6'2'',175.0,73.0,Ohio,,136,,,2012,Ohio,270,117,
Troy Watson,OT,Aurora,OH,6'5'',275.0,73.0,Ohio,,171,,,2012,Ohio,,,
Dazmond Patterson,RB,Plant City,FL,5'6'',182.0,71.0,Ohio,,196,,,2012,Ohio,931,335,
Kurt Laseak,OLB,Mentor,OH,6'3'',215.0,70.0,Ohio,,164,,,2012,Ohio,,,
Toran Davis,OLB,Decatur,GA,6'0'',190.0,68.0,Ohio,,182,,,2012,Ohio,995,188,
Malik Rodriguez,,,,,,,Ohio,,,,,2012,Ohio, None, None,
Davon Henry,DE,Austin,TX,6'2'',230.0,,Ohio,,NR,,,2012,Ohio,,,
Chris Murray,,Tampa,FL,5'9'',168.0,,Ohio,,,,,2012,Ohio,,,
Nicholas Gibbons,OT,Stone Mountain,GA,6'4'',290.0,,Ohio,,,,,2012,Ohio, None, None,
Trae Clark,DT,Cincinnati,OH,6'3'',310.0,,Ohio,,NR,,,2012,Ohio, NR, NR,
Jordan Reid,WR,Stone Mountain,GA,6'2'',190.0,,Ohio,,NR,,,2012,Ohio, NR, NR,
Tim Edmond,ILB,Cincinnati,OH,6'0'',235.0,,Ohio,,,,,2012,Ohio,,,
Matt Waters,WR,Council Bluffs,IA,6'1'',200.0,,Ohio,,,,,2012,Ohio, None, None,
Ty Branz,DE,York,NE,6'2'',245.0,,Ohio,,,,,2012,Ohio, None, None,
Wade Wells,DE,Ocean Springs,MS,6'4'',245.0,,Ohio,,,,,2012,Ohio,,,
Justin Wyatt,WR,Suwanee,GA,6'0'',177,4,76,Ohio,130,418,104,2013,Ohio,,,
Deontai Williams,S,Jacksonville,FL,6'2'',178.0,,81,Ohio,18,,,2015,Ohio,117,42,
Jeff Christian,CB,Cincinnati,OH,5'10'',180.0,,77,Ohio,59,,,2015,Ohio,,,
Louie Zervos,K,Tarpon Springs,FL,5'9'',165.0,,75,Ohio,9,,,2015,Ohio,,,
Maxwell Howell,CB,West Palm Beach,FL,6'1'',185.0,,73,Ohio,102,,,2015,Ohio,,,
Clayton Glasco,OLB,Pickerington,OH,6'0'',215.0,,73,Ohio,121,,,2015,Ohio,,,
Javon Hagan,S,Jacksonville,FL,5'11'',190.0,,73,Ohio,119,,,2015,Ohio,675,245,
Mayne Williams,S,Cincinnati,OH,5'11'',175.0,,71,Ohio,141,,,2015,Ohio,217,80,
London Cloud,ILB,Bedford,OH,6'0'',229.0,,69,Ohio,63,,,2015,Ohio,238,89,
Jake Hale,LS,Powell,OH,6'1'',200.0,,68,Ohio,8,,,2015,Ohio,246,94,
Elijah Ball,WR,Cincinnati,OH,,,,NR,Ohio,,,,2015,Ohio,,,
Adam Luehrman,WR,Athens,OH,6'4'',195.0,,NR,Ohio,,,,2015,Ohio,,,
Ryan Luehrman,WR,Athens,OH,6'4'',190.0,,NR,Ohio,,,,2015,Ohio,,,
Kyle Belack,WR,Myrtle Beach,SC,5'11'',195.0,,NR,Ohio,,,,2015,Ohio, None, None,
Austen Pleasants,OT,Ironton,OH,6'5'',305.0,,NR,Ohio,,,,2015,Ohio,,,
Najee Stevens-McKenzie,DE,Bedford,OH,6'4'',215.0,,NR,Ohio,,,,2015,Ohio,,,
Brian Arp,DT,Kearney,NE,6'3'',265.0,,NR,Ohio,NR,,,2015,Ohio,,,
Sam McKnight,DT,Cleveland,OH,6'2'',260.0,,NR,Ohio,,,,2015,Ohio, None, None,
Marques Grimes,OT,Southfield,MI,6'5'',300.0,,NR,Ohio,,,,2015,Ohio, None, None,
Evan Croutch,ILB,Youngstown,OH,6'1'',220.0,,NR,Ohio,,,,2015,Ohio,,,
Quinton Maxwell,QB-PP,Richmond,MO,6'2'',205.0,,NR,Ohio,,,,2015,Ohio, None, None,
Keith Key,DE,Powell,OH,6'3'',221.0,,NR,Ohio,,,,2015,Ohio,,,
Josh Cooper,OG (JC),Moorhead,MS,6'1'',310.0,,NR,Ohio,,,,2015,Ohio,,,
Joe Anderson,OT (JC),Torrance,CA,6'6'',320.0,,NR,Ohio,NR,,,2015,Ohio, NR, NR,
Conner Krizancic,WR (TR),Minneapolis,MN,6'2'',190.0,,TR,Ohio,,,,2015,Ohio, None, None,
Nathan Murray,OT,Pineville,KY,6'6'',328,,72,,592,,9,2016,Ohio,,,Ohio
Dontez Rash,RB,Cleveland,OH,5'8'',175,,69,,125,227,80,2016,Ohio,,,Ohio
Keevon Harris,ATH,Leavittsburg,OH,6'3'',210,,NR,,NR,NR,NR,2016,Ohio,,,Ohio
Jared Dorsa,ILB,Kings Mills,OH,6'2'',225,,NR,,,,,2016,Ohio,,,Ohio
Bryan Long Jr.,WR,Powder Springs,GA,5'7'',165,,NR,,,,,2016,Ohio,,,Ohio
William Evans,DE,Augusta,GA,6'3'',256,,NR,,,,,2016,Ohio,,,Ohio
Tyler Tupa,WR,Broadview Heights,OH,6'0'',170,,NR,,,,,2016,Ohio,,,Ohio
Scean Mustin,DT,Orange,CA,6'1'',296,,NR,,,,,2016,Ohio,,,Ohio
Felipe Fernandez,OT,Tampa,FL,6'4'',313,,NR,,,,,2016,Ohio,,,Ohio
Adam Notestine,OT,Pickerington,OH,6'4'',320,,NR,,,,,2016,Ohio,,,Ohio
Andrew Cree,OLB,Leavittsburg,OH,6'1'',215,,NR,,,,,2016,Ohio,,,Ohio
Cameron Odom,WR,Bedford,OH,6'1'',170,,NR,,,,,2016,Ohio,,,Ohio
Hayden Lewis,OG,Saint Clairsville,OH,6'4'',260,,NR,,,,,2016,Ohio,,,Ohio
Xavier Motley,CB,Centerville,OH,5'11'',147,,NR,,,,,2016,Ohio,,,Ohio
Eric Popp,ILB,Loveland,OH,6'0'',220,,NR,,NR,,,2016,Ohio,,,Ohio
