Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,University  ,Reg_rank,State_rank,School,School  
Micah Thomas,ATH,Houston,TX,6'0'',180,4,77,Utah,56,107,73,2013,Utah,,,,,
Myron Aiava,DE,Westminster,CA,6'4'',255,4,77,Utah,, None, None,2013,Utah,,,,,
Haile Falemaka,OT,Salt Lake City,UT,6'4'',245,4,77,Utah,,,,2013,Utah,,,,,
Devontae Booker,RB,Sacramento,CA,5'11'',200,4,76,Utah,6, None, None,2013,Utah,,,,,
Tevin Carter,S,Los Angeles,CA,6'3'',220,4,76,Utah,63,182,142,2013,Utah,,,,,
Salesi Uhatafe,OG,Euless,TX,6'5'',300,4,76,Utah,87,,,2013,Utah,,,,,
Leroy Sitake Tanoai,OT,Sherman Oaks,CA,6'4'',280,4,75,Utah,, None, None,2013,Utah,,,,,
Clarence Smith,ATH,Buckeye,AZ,6'2'',215,4,75,Utah,22,,,2013,Utah,,,,,
Harrison Handley,TE,Sandy,UT,6'5'',200,3,73,Utah,203,,,2013,Utah,,,,,
Conner Manning,QB-LP,Lake Forest,CA,6'2'',194,3,73,Utah,32,206,137,2013,Utah,,,,,
Brandon Cox,QB-DT,Pasadena,CA,6'2'',184,3,73,Utah,152,240,163,2013,Utah,,,,,
Dominique Hatfield,ATH,Los Angeles,CA,5'10'',170,3,72,Utah,,,,2013,Utah,,,,,
Uaea Masina,OLB,Salt Lake City,UT,6'2'',205,3,72,Utah,130,291,230,2013,Utah,,,,,
Dre'Vian Young,RB,Houston,TX,5'10'',180,3,72,Utah,7,255,7,2013,Utah,,,,,
Troy McCormick,RB,Houston,TX,5'9'',175,3,71,Utah,12,,,2013,Utah,,,,,
Marcus Williams,RB,Las Vegas,NV,5'11'',197,3,71,Utah,161,329,28,2013,Utah,,,,,
Chase Dominguez,LS,Orange,CA,6'5'',195,3,67,Utah,,,,2013,Utah,,,,,
Filipo Mokofisi,OLB,Woods Cross,UT,6'3'',210,3,63,Utah,,,,2013,Utah,,,,,
Lowell Lotulelei,DT,South Jordan,UT,6'2'',300,82,  ,,, None, None,2014,Utah,,,,,
Dacorius Law,RB,Haines City,FL,5'11'',185,80,  ,,36,,,2014,Utah,,,,,
Raelon Singleton,WR,Crosby,TX,6'4'',185,79,  ,,75,,,2014,Utah,,,,,
Andre Godfrey,S,Miramar,FL,6'0'',182,79,  ,,31,256,97,2014,Utah,,,,,
Tavaris Williams,RB,Fort White,FL,5'10'',166,79,  ,,56,,,2014,Utah,,,,,
Jackson Barton,OT,Salt Lake City,UT,6'6'',275,78,  ,,39,,,2014,Utah,,,,,
Marcus Williams,WR,Corona,CA,6'0'',165,78,  ,,, None, None,2014,Utah,,,,,
Allan Havili,DT,Tooele,UT,6'4'',285,78,  ,,62,90,7,2014,Utah,,,,,
Pita Tonga,DT,Salt Lake City,UT,6'2'',275,78,  ,,63,92,8,2014,Utah,,,,,
Kaelin Clay,WR,Long Beach,CA,5'10'',188,77,  ,,17, None, None,2014,Utah,,,,,
Pasoni Tasini,DE,Wailuku,HI,6'3'',260,77,  ,,9,,,2014,Utah,,,,,
Donovan Isom,QB,Destrehan,LA,6'4'',245,77,  ,,36,,,2014,Utah,,,,,
Kenric Young,WR,Gainesville,FL,6'1'',165,76,  ,,122,390,136,2014,Utah,,,,,
Kyle Christiansen,DT,Hyrum,UT,6'3'',315,75,  ,,164,88,12,2014,Utah,,,,,
Monte Seabrook,S,Newberry,FL,6'0'',185,75,  ,,481, None,169,2014,Utah,,,,,
Amone Finau,ATH,Kearns,UT,6'1'',190,75,  ,,,114,13,2014,Utah,,,,,
Howard Pututau,DE,Salt Lake City,UT,6'3'',230,72,  ,,, None, None,2014,Utah,,,,,
Thor Katoa,OLB,Saint George,UT,6'2'',225,72,  ,,148,241,17,2014,Utah,,,,,
Khyiris Luavai,ATH,West Valley City,UT,6'3'',290,70,  ,,192,,,2014,Utah,,,,,
Travonne Hobbs,CB,New Orleans,LA,5'10'',175,70,  ,,115,,,2014,Utah,,,,,
