Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,School  
OLB,Miami,FL,6'0'',195.0,NR,,Florida International,,,,,2009,Florida International,,,,,
DE,Miami,FL,6'3'',210.0,NR,,Florida International,,,,,2009,Florida International,,,,,
ILB,Port Saint Lucie,FL,6'2'',225.0,NR,,Florida International,,,,,2009,Florida International,,,,,
S,Winter Springs,FL,6'2'',215.0,NR,,Florida International,,,,,2009,Florida International,,,,,
DE,Wellsville,KS,6'3'',260.0,NR,,Florida International,,,,,2009,Florida International,,,,,
WR,Bradenton,FL,6'3'',190.0,NR,,Florida International,,,,,2009,Florida International,,,,,
QB,Fort Lauderdale,FL,6'2'',190.0,TR,,Florida International,,,,,2009,Florida International,,,,,
CB,Cocoa,FL,5'11'',190.0,NR,,Florida International,,,,,2009,Florida International,,,,,
,,,,,,,,,NR,,,2009,Florida International, NR, NR,,,
,,,,,,,,,,,,2009,Florida International,,,,,
Willis Wright,WR,Miami,FL,6'1'',202,81,Florida International,,121,NR,NR,2010,Florida International,,,,,
Jericho Lee,DT,Tallahassee,FL,5'11'',260,77,Florida International,,,,,2010,Florida International,,,,,
Jake Medlock,QB,Neptune Beach,FL,6'1'',180,76,Florida International,,,,,2010,Florida International,,,,,
Mac Brown,CB,Saint Petersburg,FL,6'0'',150,76,Florida International,,51,,,2010,Florida International,,,,,
Richard Leonard,CB,Miami,FL,5'8'',160,75,Florida International,,,,,2010,Florida International,,,,,
Khambrel McGee,ATH,Miami,FL,5'8'',159,74,Florida International,,,,,2010,Florida International,,,,,
Glenn Coleman,WR,Harvey,LA,6'1'',200,73,Florida International,,73.0,,,2010,Florida International,,,,,
Kedrick Rhodes,RB,Ocala,FL,5'10'',174,72,Florida International,,181, NR, NR,2010,Florida International,,,,,
David Delsoin,OT,Hollywood,FL,6'6'',270,72,Florida International,,140,NR,NR,2010,Florida International,,,,,
Stanley St. Jean,OG,Miami,FL,6'2'',260,71,Florida International,,,,,2010,Florida International,,,,,
Sam Miller,S,Miami,FL,5'10'',158,69,Florida International,,,,,2010,Florida International,,,,,
Mitchell Wozniak,WR,Dade City,FL,6'3'',174,,Florida International,,,,,2010,Florida International,,,,,
Wade Issac,DT,Miami,FL,6'2'',240,,Florida International,,NR,NR,NR,2010,Florida International,,,,,
Caleb Vincent,ILB,Davie,FL,6'1'',212,,Florida International,,NR,,,2010,Florida International,,,,,
Jordan White,DT,Williston,FL,6'3'',327,,Florida International,,,,,2010,Florida International,,,,,
Ceedrick Davis,OG,Jacksonville,FL,6'3'',295,,Florida International,,,,,2010,Florida International,,,,,
