Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School,University  ,School  
Grayson James,QB-PP,Duncanville,TX,6'3'',220,,76,Florida International,40,,,2021,Florida International,,,,,
Demetrius Hill,S,Miami Springs,FL,6'2'',190,,75,Florida International,84,,,2021,Florida International,,,,,
Kareem Harden,OT,Fort Lauderdale,FL,6'5'',290,,74,Florida International,111,,,2021,Florida International,,,,,
Gaethan Bernadel,OLB,Hallandale Beach,FL,6'1'',210,,74,Florida International,112,563,184,2021,Florida International,,,,,
Tyrese Chambers,WR,Baltimore,MD,6'1'',175,,74,Florida International,9,,,2021,Florida International,,,,,
Travonte O'Neal,DE,Vero Beach,FL,6'3'',240,,74,Florida International,52,,,2021,Florida International,,,,,
Daniel Pilgrim,TE-YNorth Fort Myers,FL,6'2'',215,74,,Florida International,,60,,,2021,Florida International,,,,,
Amahri McCray,ILB,Miami,FL,6'0'',210,,72,Florida International,165,794,262,2021,Florida International,,,,,
Jakovi Bryant,CB,Kissimmee,FL,5'11'',175,,72,Florida International,123,867,286,2021,Florida International,,,,,
Wyatt Lawson,OG,Plant City,FL,6'3'',285,,71,Florida International,243,,,2021,Florida International,,,,,
Kenjuan Manuel,DT,Washington,DC,6'1'',295,,71,Florida International,128,894,294,2021,Florida International,,,,,
Jordan Guerad,DT,Valrico,FL,6'3'',295,,71,Florida International,78,,,2021,Florida International,,,,,
D'moir Jean-Baptiste,S,Miami,FL,6'0'',175,,71,Florida International,,,,2021,Florida International,,,,,
Keegan Davis,TE-Y,Port Saint Lucie,FL,6'3'',235,,70,Florida International,,,,2021,Florida International,,,,,
Baba Conate,OLB,Auburn Hills,MI,6'2'',230,,NR,Florida International,,,,2021,Florida International,,,,,
Dontae Keys,OG,Fayetteville,NC,6'4'',300,,TR,Florida International,,,,2021,Florida International,,,,,
Hal Vinson,ILB,Dallas,TX,6'1'',240,,TR,Florida International,,,,2021,Florida International,,,,,
J.D. Gomez,OT,Philadelphia,PA,6'6'',300,,TR,Florida International,,,,2021,Florida International,,,,,
Deyavie Hammond,OG,Lakeland,FL,6'3'',330,77,Florida International,,1.0,,,2022,Florida International, None, None,,,
Mike Jackson,WR,Miami,FL,5'9'',160,75,Florida International,,171,,,2022,Florida International,558,171,,,
Semaj Flagg,S,Miami,FL,6'1'',185,73,Florida International,,102,,,2022,Florida International,,,,,
Jesse Smith,CB,Hollywood,FL,6'2'',195,72,Florida International,,,,,2022,Florida International,,,,,
Trent Henry,ATH,Miami,FL,6'0'',180,72,Florida International,,168,,,2022,Florida International,783,245,,,
Jordan Doelling,K,Melbourne,Aus,,72,Florida International,,,45,,,2022,Florida International,,,,,
John Bock II,OG,Fort Lauderdale,FL,6'3'',305,71,Florida International,,117,,,2022,Florida International,802,251,,,
Amari Jones,QB-DT,Starke,FL,6'2'',210,71,Florida International,,50,,,2022,Florida International,813,255,,,
Naeer Jackson,OT,Miami,FL,6'4'',320,71,Florida International,,198,,,2022,Florida International,814,256,,,
Jamarrion Solomon,DT,Miami,FL,6'0'',275,71,Florida International,,135,,,2022,Florida International,818,258,,,
Percy Courtney Jr.,ILB,Miami,FL,5'10'',190,71,Florida International,,,,,2022,Florida International, None, None,,,
Steven Shannon,DE,Miami,FL,6'2'',230,70,Florida International,,185,,,2022,Florida International,833,262,,,
Antonio Patterson,RB,Murfreesboro,TN,5'11'',190,69,Florida International,,124,,,2022,Florida International,,,,,
D.J. Aiken,DE,Bluffton,SC,6'3'',235,,Florida International,,NR,,,2022,Florida International,,,,,
Dwight Nunoo,ILB,Grand Prairie,TX,6'1'',220,,Florida International,,,,,2022,Florida International,,,,,
Paras Cline,DE,Cross City,FL,6'2'',215,,Florida International,,,,,2022,Florida International,,,,,
Hezekiah Masses,S,Deerfield Beach,FL,6'0'',160,,Florida International,,,,,2022,Florida International, None, None,,,
Jackson Lee,LS,Gilbert,AZ,6'2'',197,,Florida International,,NR,,,2022,Florida International,,,,,
J.D. Lee,OG,Nashville,TN,6'3'',275,,Florida International,,,,,2022,Florida International, None, None,,,
Larry Preston,S,Apopka,FL,6'2'',185,,Florida International,,,,,2022,Florida International, NR, NR,,,
Jalen Bracey,WR,Jackson,MS,5'10'',185,,Florida International,,,,,2022,Florida International,,,,,
Will Prendergast,DT,Prosper,TX,6'2'',280,,Florida International,,,,,2022,Florida International, None, None,,,
Gunnar Holmberg,QB-PP,Wake Forest,NC,6'3'',180,,Florida International,,,,,2022,Florida International, None, None,,,
Sharod Johnson,WR,Miami,FL,5'11'',185,,Florida International,,,,,2022,Florida International,,,,,
Adrian Cole,CB,Fort Lauderdale,FL,5'11'',185,,Florida International,,,,,2022,Florida International, None, None,,,
Willie Reid,S,Detroit,MI,6'1'',206,,Florida International,,,,,2022,Florida International,,,,,
Josiah Miamen,TE-H,Dunlap,IL,6'4'',245,,Florida International,,,,,2022,Florida International, None, None,,,
Donovan Manuel,OLB,Johnson City,TN,6'1'',200,,Florida International,,,,,2022,Florida International, None, None,,,
Latarie Kinsler Jr.,DE,Pahokee,FL,6'3'',223,,Florida International,,,,,2022,Florida International,,,,,
Samuel Hill,OG,Waynesboro,GA,6'3'',345,,Florida International,,,,,2022,Florida International,,,,,
Jacolby Hewitt,WR,Cordova,TN,6'1'',208,,Florida International,,,,,2022,Florida International,,,,,
Leonard Parker,RB,Tampa,FL,5'11'',200,,Florida International,,,,,2022,Florida International, None, None,,,
Jacob Peace,OT,Berryville,VA,6'5'',304,,Florida International,,,,,2022,Florida International, None, None,,,
Jaheim Buchanon,OC,Lehigh Acres,FL,6'2'',280,75.0,Florida International,,13,,,2023,Florida International,538,185,,,
Jamari Holliman,CB,Miami,FL,6'0'',175,75.0,Florida International,,126,,,2023,Florida International,,,,,
Preston Thompson,CB,Clewiston,FL,5'11'',180,75.0,Florida International,,132,,,2023,Florida International,568,198,,,
Landon Hale,S,Yulee,FL,6'1'',180,74.0,Florida International,,133,,,2023,Florida International,640,225,,,
Keyone Jenkins,QB-PP,Miami,FL,6'0'',185,74.0,Florida International,,51,,,2023,Florida International,655,231,,,
Mister Clarke,S,Miami,FL,6'0'',180,73.0,Florida International,,155,,,2023,Florida International,708,251,,,
Luby Maurice,WR,Wellington,FL,6'0'',180,,Florida International,,,,,2023,Florida International,,,,,
Atavious Weaver,OLB,North Fort Myers,FL,6'2'',185,,Florida International,,,,,2023,Florida International,,,,,
Toddrick Brewton,DE,Miami,FL,6'3'',225,,Florida International,,,,,2023,Florida International, None, None,,,
Braiden Staten,TE-H,Mount Juliet,TN,6'5'',220,,Florida International,,,,,2023,Florida International, None, None,,,
Kyle McNeal,ATH,Palm Beach Gardens,FL,6'2'',175,,Florida International,,,,,2023,Florida International, None, None,,,
Victor Evans III,CB,Miami,FL,5'11'',165,,Florida International,,,,,2023,Florida International, None, None,,,
Daniel Michel,OT,Fort Lauderdale,FL,6'5'',265,,Florida International,,NR,,,2023,Florida International,,,,,
Mykeal Rabess,DT,Miami,FL,6'5'',260,,Florida International,,NR,,,2023,Florida International,,,,,
Rowdy Beers,TE-Y,Highlands Ranch,CO,6'5'',225,,Florida International,,,,,2023,Florida International, None, None,,,
A.J. Cobb,DE,Frostproof,FL,6'4'',250,,Florida International,,,,,2023,Florida International,,,,,
Marquez Tatum,DT,Mobile,AL,6'4'',280,,Florida International,,,,,2023,Florida International, None, None,,,
Ja'Coby Matthews,WR,McComb,MS,5'11'',170,,Florida International,,,,,2023,Florida International, None, None,,,
Shomari Lawrence,RB,Stony Brook,NY,6'0'',200,,Florida International,,,,,2023,Florida International,,,,,
Josiah Taylor,ILB,Sebring,FL,5'11'',210,75,Florida International,,59,631,207,2024,Florida International,,,,,
Devonte Lyons,RB,Saint Augustine,FL,5'10'',190,75,Florida International,,107,633,209,2024,Florida International,,,,,
Nicholas Smith,WR,Fort Lauderdale,FL,5'11'',165,74,Florida International,,209,736,,2024,Florida International,,,,,
Robert Williams,DT,Miami,FL,6'2'',260,73,Florida International,,,,,2024,Florida International,,,,,
Germaine Carter,DT,Miami,FL,6'0'',260,73,Florida International,,120,801,248,2024,Florida International,,,,,
Jaden Williams,S,Fort Lauderdale,FL,6'1'',185,73,Florida International,,183,,,2024,Florida International,,,,,
Jonathan Rodriguez,OT,Fort Lauderdale,FL,6'4'',280,72,Florida International,,,,,2024,Florida International,,,,,
Clayton Dees,QB-DT,Bradenton,FL,6'2'',185,71,Florida International,,39,,,2024,Florida International,,,,,
Ashton Levells,CB,DeSoto,TX,6'0'',170,70,Florida International,,14,,,2024,Florida International,,,,,
Knaje Saffold,OG,Port Saint Lucie,FL,6'3'',320,NR,Florida International,,,,,2024,Florida International,,,,,
Eric Nelson Jr.,WR,Miramar,FL,6'2'',175,NR,Florida International,,,,,2024,Florida International,,,,,
Sadonnie Gay,S,Miami,FL,6'0'',180,NR,Florida International,,NR,NR,NR,2024,Florida International,,,,,
Raheim Sexil,CB,Bradenton,FL,6'0'',185,NR,Florida International,,,,,2024,Florida International,,,,,
Shemir Sterlin,S,Port Saint Lucie,FL,6'1'',185,NR,Florida International,,NR,,,2024,Florida International,,,,,
Shamir Sterlin,S,Port Saint Lucie,FL,6'1'',185,NR,Florida International,,,,,2024,Florida International,,,,,
Travion Barnes,ILB,Apopka,FL,5'11'',230,NR,Florida International,,,,,2024,Florida International,,,,,
Cole Gustafson,DT,Rocklin,CA,6'5'',310,NR,Florida International,,NR,,,2024,Florida International,,,,,
Dwight Nunoo,ILB,Grand Prairie,TX,6'0'',230,NR,Florida International,,,,,2024,Florida International,,,,,
Clinton Mahoni,DT,Roswell,NM,6'3'',280,NR,Florida International,,,,,2024,Florida International,,,,,
