Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Peter Konz,OT,Neenah,WI,6'6'',285,,75.0,,71,,,2008,Wisconsin,Wisconsin, NR, NR
Brendan Kelly,DE,Richfield,MN,6'6'',225,,74.0,,,,,2008,Wisconsin,Wisconsin, None, None
Dex Jones,OLB,Lombard,IL,6'1'',215,,65.0,,164,,,2008,Wisconsin,Wisconsin,,
Shelton Johnson,S,Carrollton,TX,6'0'',167,Not Rated,,,NR,,,2008,Wisconsin,,,
Leonard Hubbard,ILB,Springfield,IL,6'1'',230,,79.0,,13,,,2008,Wisconsin,Wisconsin,,
Christopher Garner,OG,Augusta,WI,6'5'',315,Not Rated,,,,,,2008,Wisconsin,, None, None
Antonio Fenelus,CB,Boca Raton,FL,5'9'',170,Not Rated,,,,,,2008,Wisconsin,, None, None
Bradie Ewing,RB,Richland,WI,6'0'',205,Not Rated,,,,,,2008,Wisconsin,,,
Zach Davison,DE,Waukee,IA,6'4'',219,,74.0,,,,,2008,Wisconsin,Wisconsin,,
Jake Current,OG,Troy,OH,6'3'',275,,77.0,,29,,,2008,Wisconsin,Wisconsin,,
Chris Cromwell,OG,Milwaukee,WI,6'3'',305,Not Rated,,,,,,2008,Wisconsin,,,
Marcus Cromartie,CB,Mansfield,TX,6'0'',159,,76.0,,52,,,2008,Wisconsin,Wisconsin, NR, NR
Kevin Claxton,S,Fort Lauderdale,FL,6'2'',192,,74.0,,410,,,2008,Wisconsin,Wisconsin,,
Jake Byrne,TE,Rogers,AR,6'5'',235,Not Rated,,,NR,,,2008,Wisconsin,,,
Robert Burge,OT,Holmen,WI,6'7'',305,Not Rated,,,NR,,,2008,Wisconsin,,,
Ericks Briedis,DE,Miami,FL,6'5'',255,Not Rated,,,,,,2008,Wisconsin,,,
Jordan Bergmann,OT,Slinger,WI,6'6'',280,Not Rated,,,NR,,,2008,Wisconsin,,,
Frank Tamakloe,SOlney,MD,6'2'',172, ,79,Good Counsel High School,,25,NR,NR,2010,Wisconsin,,,
Beau Allen,DT,Shorewood,MN,6'3'',290, ,79,,30,,,2010,Wisconsin,Minnetonka High School,,
Manasseh Garner,ATH,Pittsburgh,PA,6'2'',206, ,78,,,50,,2010,Wisconsin,Brashear High School,,
Rob Havenstein,OT,Frederick,MD,6'8'',346, ,78,,33,,,2010,Wisconsin,Linganore High School,,
Joseph Brennan,QB,Cherry Hill,NJ,6'3'',185, ,78,,35,,,2010,Wisconsin,Camden Catholic High School,,
Jeff Lewis,RB,Brookfield,WI,6'2'',197, ,77,,47,,,2010,Wisconsin,West Allis Central High School,,
Marquis Mason,WR,Madison,WI,6'5'',210, ,77,,,,,2010,Wisconsin,Madison East High School,,
James White,RB,Fort Lauderdale,FL,5'10'',196, ,77,,,,,2010,Wisconsin,Saint Thomas Aquinas High School,,
Jameson Wright,S,Fort Pierce,FL,6'2'',171, ,77,,,,,2010,Wisconsin,Fort Pierce Westwood High School,,
Sherard Cadogan,DE,Cherry Hill,NJ,6'2'',222, ,76,,76,,,2010,Wisconsin,Camden Catholic High School,,
Konrad Zagzebski,ILB,Schofield,WI,6'3'',220, ,76,,28,NR,NR,2010,Wisconsin,D. C. Everest High School,,
Joe McNamara,OG,Weston,FL,6'2'',275, ,76,,76.0,,,2010,Wisconsin,Cypress Bay High School,,
Josh Harrison,OLB,Huber Heights,OH,6'1'',200, ,76,,,,,2010,Wisconsin,Wayne High School,,
Cody Byers,OLB,Kettering,OH,6'3'',205, ,75,,,,,2010,Wisconsin,Archbishop Alter High School,,
Warren Herring,DE,Belleville,IL,6'3'',220, ,75,,110, None, None,2010,Wisconsin,Belleville East High School,,
Kyle French,K,Menomonee Falls,WI,6'2'',175, ,75,,20,,,2010,Wisconsin,Menomonee Falls High School,,
Isaiah Williams,ATH,Miami,FL,6'2'',190, ,75,,,,,2010,Wisconsin,Monsignor Edward Pace High School,,
Bryce Gilbert,DT,Brookfield,WI,6'2'',275, ,74,,,,,2010,Wisconsin,Brookfield Central High School,,
Peniel Jean,CB,Wellington,FL,5'10'',182, ,74,,,,,2010,Wisconsin,Palm Beach Central High School,,
Michael Trotter,S,Milwaukee,WI,6'0'',197, ,74,,,,,2010,Wisconsin,Marquette University,,
Chase Hammond,WR,Youngstown,OH,6'4'',200, ,74,,,,,2010,Wisconsin,Boardman High School,,
Cameron Ontko,ATH,Cuyahoga Falls,OH,6'0'',211, ,68,,6.0,,,2010,Wisconsin,Walsh Jesuit High School,,
Jake Irwin,DE,Waunakee,WI,6'4'',255, , ,,,,,2010,Wisconsin,WisconsinSigned,,
Dallas Lewallen,OT,Berlin,WI,6'6'',285, , ,,NR,,,2010,Wisconsin,WisconsinSigned,,
Kyle Costigan,OG,Muskego,WI,6'4'',270, , ,,,,,2010,Wisconsin,WisconsinSigned,,
A.J. Jordan,WR,Trotwood,OH,6'1'',175,79.0,Wisconsin,,40,26,11,2011,Wisconsin,,,
Melvin Gordon,ATH,Kenosha,WI,6'0'',182,79.0,Wisconsin,,39,,,2011,Wisconsin,,,
Jesse Hayes,DE,Cincinnati,OH,6'3'',235,78.0,Wisconsin,,38,,,2011,Wisconsin,,,
Austin Traylor,ATH,Columbus,OH,6'3'',210,78.0,Wisconsin,,64,,,2011,Wisconsin,,,
Jake Keefer,OLB,Baldwin,WI,6'3'',210,78.0,Wisconsin,,45,,,2011,Wisconsin,,,
Sam Arneson,TE,Merrill,WI,6'3'',225,78.0,Wisconsin,,27,,,2011,Wisconsin,,,
Devin Gaulden,CB,Fort Lauderdale,FL,5'10'',174,78.0,Wisconsin,,34,288,,2011,Wisconsin,,,
Derek Watt,OLB,Pewaukee,WI,6'2'',209,77.0,Wisconsin,,74,,,2011,Wisconsin,,,
Eric Steffes,TE,Fond Du Lac,WI,6'5'',225,77.0,Wisconsin,,36,,,2011,Wisconsin,,,
Terrance Floyd,ATH,Lantana,FL,5'10'',188,77.0,Wisconsin,,300,,,2011,Wisconsin,,,
James Adeyanju,DE,Chicago,IL,6'2'',239,77.0,Wisconsin,,78,99,,2011,Wisconsin,,,
