Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Jonas Duclona,CB,Naples,FL,5'11'',175,76.0,,,113,,,2023,Wisconsin,,,
Justin Taylor,WR,La Grange,IL,6'0'',185,75.0,,,178,,,2023,Wisconsin,,,
Christian Alliegro,OLB,Darien,CT,6'3'',220,75.0,,,,,,2023,Wisconsin,,,
Tucker Ashcraft,TE-Y,Seattle,WA,6'4'',235,74.0,,,33,239,19,2023,Wisconsin,,,
Nick Evers,QB-PP,Flower Mound,TX,6'3'',195,,75.0,,,,,2023,Wisconsin,,,
Darian Varner,DT,Norfolk,VA,6'2'',265,,,,,,,2023,Wisconsin,,,
Jason Maitre,S,Everett,MA,5'10'',188,,,,,,,2023,Wisconsin,,,
Tanner Mordecai,QB-PP,Waco,TX,6'3'',214,,,,,,,2023,Wisconsin,,,
Jake Renfro,OC,Mokena,IL,6'3'',308,,,,,,,2023,Wisconsin,,,
Jeff Pietrowski,DE,Medina,OH,6'1'',250,,,,,,,2023,Wisconsin,,,
Braedyn Locke,QB-PP,Rockwall,TX,6'1'',180,,,,,,,2023,Wisconsin,,,
Will Pauling,WR,Flossmoor,IL,5'10'',175,,,,,,,2023,Wisconsin,,,
Quincy Burroughs,WR,Jacksonville,FL,6'2'',185,,,,,,,2023,Wisconsin,,,
C.J. Williams,WR,Santa Ana,CA,6'2'',190,,,,,,,2023,Wisconsin,,,
Bryson Green,WR,Allen,TX,6'1'',210,,,,,,,2023,Wisconsin,,,
