Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank
Kayden McDonald,DT,Suwanee,GA,6'2'',325,,,22,,,2023,Ohio State,80.0,,
Bryson Rodgers,WR,Wesley Chapel,FL,6'1'',175,,,47,185,79,2023,Ohio State,80.0,,
Austin Siereveld,OG,Liberty Township,OH,6'4'',310,,,17,33,11,2023,Ohio State,79.0,,
Lincoln Kienholz,QB-DT,Pierre,SD,6'3'',185,,,13,101,1,2023,Ohio State,79.0,,
Will Smith,DT,Dublin,OH,6'3'',260,,,33,44,15,2023,Ohio State,79.0,,
Miles Walker,OT,Greenwich,CT,6'6'',280,,,65,79,3,2023,Ohio State,78.0,,
Ja'Had Carter,S,Richmond,VA,6'2'',198,Ohio State,,, None, None,2023,Ohio State,,,
Tristan Gebbia,QB-PP,Calabasas,CA,6'2'',195,Ohio State,,, None, None,2023,Ohio State,,,
Victor Cutler,OT,West Monroe,LA,6'3'',302,Ohio State,,, None, None,2023,Ohio State,,,
Davison Igbinosun,CB,Union,NJ,6'2'',185,Ohio State,,,,,2023,Ohio State,,,
Tywone Malone,DT,Oradell,NJ,6'4'',305,Ohio State,,,,,2023,Ohio State,,,
Casey Magyar,K,Dublin,OH,5'11'',175,Ohio State,,, None, None,2023,Ohio State,,,
Lorenzo Styles Jr.,WR,South Bend,IN,6'1'',190,Ohio State,,, None, None,2023,Ohio State,,,
Josh Simmons,OT,La Mesa,CA,6'6'',305,Ohio State,,,,,2023,Ohio State,,,
Jeremiah Smith,WR,Hollywood,FL,6'3'',200,92,Ohio State,4, None, None,2024,Ohio State,2,,
Julian Sayin,QB-DT,Carlsbad,CA,6'2'',190,91,Ohio State,2,,,2024,Ohio State,2,,
Aaron Scott,CB,Springfield,OH,6'1'',180,88,Ohio State,4,1,1,2024,Ohio State,4,,
Bryce West,CB,Cleveland,OH,6'0'',185,87,Ohio State,5,3,2,2024,Ohio State,5,,
Eddrick Houston,DE,Buford,GA,6'3'',260,86,Ohio State,8,17,5,2024,Ohio State,8,,
Mylan Graham,WR,New Haven,IN,6'1'',170,86,Ohio State,9,,,2024,Ohio State,9,,
Air Noland,QB-PP,Fairburn,GA,6'3'',195,85,Ohio State,3,25,7,2024,Ohio State,3,,
Garrett Stover,S,Sunbury,OH,6'1'',200,83,Ohio State,6,,,2024,Ohio State,6,,
Ian Moore,OT,New Palestine,IN,6'6'',300,83,Ohio State,14,,,2024,Ohio State,14,,
Jaylen McClain,S,West Orange,NJ,6'0'',185,83,Ohio State,12,17,3,2024,Ohio State,12,,
Payton Pierce,ILB,Allen,TX,6'2'',230,82,Ohio State,5,30,24,2024,Ohio State,5,,
James Peoples,RB,Mission,TX,5'10'',195,82,Ohio State,14,31,25,2024,Ohio State,14,,
Max LeBlanc,TE-H,Chattanooga,TN,6'4'',225,82,Ohio State,12,84,3,2024,Ohio State,12,,
Devontae Armstrong,OG,Lakewood,OH,6'6'',265,80,Ohio State,17,,,2024,Ohio State,17,,
Deontae Armstrong,OT,Lakewood,OH,6'7'',265,80,Ohio State,36,46,16,2024,Ohio State,36,,
Dominic Kirks,DE,Painesville,OH,6'5'',255,80,Ohio State,42,47,17,2024,Ohio State,42,,
Damarion Witten,TE-H,Cleveland,OH,6'3'',215,79,Ohio State,25,51,19,2024,Ohio State,25,,
Miles Lockhart,CB,Chandler,AZ,5'11'',185,79,Ohio State,44,61,10,2024,Ohio State,44,,
Eric Mensah,DT,Stafford,VA,6'3'',290,79,Ohio State,33,,,2024,Ohio State,33,,
Gabe VanSickle,OG,Coopersville,MI,6'4'',285,78,Ohio State,35,64,11,2024,Ohio State,35,,
Sam Williams-Dixon,ATH,Millersburg,OH,5'11'',195,77,Ohio State,, None, None,2024,Ohio State,73,,
Leroy Roker,S,Fort Myers,FL,6'1'',170,76,Ohio State,112,542,169,2024,Ohio State,112,,
Morrow Evans,LS,Bellaire,TX,6'1'',220,,Ohio State,,,,2024,Ohio State,,,
Will Howard,QB-DT,Downingtown,PA,6'5'',242,TR,Ohio State,, None, None,2024,Ohio State,TR,,
Will Kacmarek,TE-Y,Saint Louis,MO,6'6'',256,TR,Ohio State,,,,2024,Ohio State,TR,,
Seth McLaughlin,OC,Flowery Branch,GA,6'4'',300,TR,Ohio State,, None, None,2024,Ohio State,TR,,
Quinshon Judkins,RB,Pike Road,AL,5'11'',210,TR,Ohio State,, None, None,2024,Ohio State,TR,,
Caleb Downs,S,Hoschton,GA,6'0'',203,TR,Ohio State,,,,2024,Ohio State,TR,,
Keenan Nelson Jr.,S,Philadelphia,PA,6'1'',195,TR,Ohio State,, None, None,2024,Ohio State,TR,,
