Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank
James Louis,WR,Delray Beach,FL,5'11'',180,81,Ohio State,12,,,2010,Ohio State,,,
Darryl Baldwin,DE,Solon,OH,6'5'',255,81,Ohio State,,,,2010,Ohio State,,,131
Corey Brown,WR,Springfield,PA,6'0'',171,81,Ohio State,137th,,,2010,Ohio State,,,
Andrew Norwell,OT,Cincinnati,OH,6'7'',275,80,Ohio State,13,,,2010,Ohio State,,,
Tyrone Williams,WR,East Cleveland,OH,6'5'',215,79,Ohio State,34,,,2010,Ohio State,,,
Carlos Hyde,RB,Naples,FL,6'1'',230,79,Ohio State,,,,2010,Ohio State,,,
David Durham,DE,Charlotte,NC,6'2'',225,79,Ohio State,33,,,2010,Ohio State,,,
Jamel Turner,OLB,Youngstown,OH,6'3'',215,79,Ohio State,24,,,2010,Ohio State,,,
Christian Bryant,S,Cleveland,OH,5'10'',175,78,Ohio State,35,,,2010,Ohio State,,,
Bradley Roby,ATH,Suwanee,GA,6'0'',167,78,Ohio State,42,,,2010,Ohio State,,,
J.T. Moore,DE,Youngstown,OH,6'3'',230,78,Ohio State,56,,,2010,Ohio State,,NR,NR
Johnathon Hankins,DT,Detroit,MI,6'3'',315,77,Ohio State,49,,,2010,Ohio State,,,
Scott McVey,ILB,Cleveland,OH,6'0'',215,77,Ohio State,19.0,,,2010,Ohio State,,position,NR
Drew Basil,K,Chillicothe,OH,6'2'',188,76,Ohio State,,,,2010,Ohio State,,,
Chad Hagan,S,Canonsburg,PA,6'1'',210,75,Ohio State,,,,2010,Ohio State,,,
Taylor Graham,QB,Wheaton,IL,6'3'',185,74,Ohio State,,,,2010,Ohio State,,,
Verlon Reed,QB,Columbus,OH,6'2'',185,68,Ohio State,158.0,,,2010,Ohio State,,,
Adam Griffin,ATH,Columbus,OH,5'9'',180,67,Ohio State,277,,,2010,Ohio State,,,
Steve Miller,DE,Canton,OH,6'3'',226,82,Ohio State,30th,,,2011,Ohio State,,1,1
Curtis Grant,ILB,Richmond,VA,6'3'',220,81,Ohio State,3,,,2011,Ohio State,,,
Doran Grant,CB,Akron,OH,5'11'',177,81,Ohio State,3,,,2011,Ohio State,,5,3
Braxton Miller,QB,Huber Heights,OH,6'2'',190,81,Ohio State,4,,,2011,Ohio State,,,
Ryan Shazier,OLB,Plantation,FL,6'2'',205,81,Ohio State,4,,,2011,Ohio State,,47,NR
Evan Spencer,WR,Vernon Hills,IL,6'0'',178,81,Ohio State,18,,,2011,Ohio State,,8,
Michael Bennett,OG,Centerville,OH,6'3'',275,80,Ohio State,,,,2011,Ohio State,,,
Jeremy Cash,S,Plantation,FL,6'1'',185,80,Ohio State,13,,,2011,Ohio State,,,
Jeff Heuerman,TE,Naples,FL,6'5'',225,80,Ohio State,6,,,2011,Ohio State,,,
Nick Vannett,TE,Westerville,OH,6'5'',230,80,Ohio State,7,,,2011,Ohio State,,13,6
Brian Bobek,OC,Palatine,IL,6'2'',275,79,Ohio State,3,,,2011,Ohio State,,23,
Kenny Hayes,DE,Toledo,OH,6'5'',250,79,Ohio State,27,,,2011,Ohio State,,,
Chase Farris,DE,Elyria,OH,6'5'',265,79,Ohio State,28,,,2011,Ohio State,,,
Joel Hale,DT,Greenwood,IN,6'4'',290,79,Ohio State,30,,,2011,Ohio State,,35,
Devin Smith,WR,Massillon,OH,6'1'',175,78,Ohio State,55,,,2011,Ohio State,,,
Chris Carter Jr.,OG,Cleveland,OH,6'4'',330,78,Ohio State,26,,,2011,Ohio State,,59,27
Tommy Brown,OT,Akron,OH,6'5'',332,78,Ohio State,38,,,2011,Ohio State,,,
Ron Tanner II,S,Columbus,OH,6'0'',190,78,Ohio State,33,,,2011,Ohio State,,,
Cardale Jones,QB,Cleveland,OH,6'5'',220,78,Ohio State,33,,,2011,Ohio State,,,
Conner Crowell,OLB,Waldorf,MD,6'1'',220,78,Ohio State,6,,,2011,Ohio State,,,
DerJuan Gambrell,S,Toledo,OH,6'1'',180,77,Ohio State,55,,,2011,Ohio State,,,
Antonio Underwood,OG,Shaker Heights,OH,6'3'',295,75,Ohio State,75,,,2011,Ohio State,,,
Bryce Haynes,ATH,Cumming,GA,6'3'',185,73,Ohio State,195,,,2011,Ohio State,,,
Noah Spence,DE,Harrisburg,PA,6'4'',245,,,4,1,1,2012,Ohio State,86,,
Adolphus Washington,DE,Cincinnati,OH,6'4'',251,,,7,3,2,2012,Ohio State,81,,
Se'Von Pittman,DE,Canton,OH,6'4'',230,,,9,,,2012,Ohio State,80,,
Joey O'Connor,OG,Windsor,CO,6'4'',295,,,16,81,7,2012,Ohio State,80,,
Tommy Schutt,DT,Glen Ellyn,IL,6'3'',305,,,, None, None,2012,Ohio State,80,,
Jamal Marcus,DE,Durham,NC,6'2'',230,,,24,24,1,2012,Ohio State,80,,
Josh Perry,OLB,Galena,OH,6'3'',230,,,41,123,46,2012,Ohio State,80,,
Armani Reeves,ATH,West Roxbury,MA,5'11'',185,,,26,35,16,2012,Ohio State,80,,
Bri'onte Dunn,RB,Canton,OH,6'1'',222,,,34,37,3,2012,Ohio State,80,,
Ricquan Southward,WR,Lakeland,FL,6'2'',185,,,47,,,2012,Ohio State,79,,
Pat Elflein,OG,Pickerington,OH,6'3'',275,,,, None, None,2012,Ohio State,79,,
David Perkins,ATH,South Bend,IN,6'1'',220,,,, None, None,2012,Ohio State,79,,
Camren Williams,OLB,West Roxbury,MA,6'2'',210,,,, None, None,2012,Ohio State,79,,
Warren Ball,RB,Columbus,OH,6'1'',205,,,45,68,33,2012,Ohio State,78,,
Frank Epitropoulos,WR,Upper Arlington,OH,6'3'',195,,,, None, None,2012,Ohio State,78,,
Taylor Decker,OT,Vandalia,OH,6'8'',310,,,81,,,2012,Ohio State,78,,
Jacoby Boren,OG,Pickerington,OH,6'2'',275,,,42,93,46,2012,Ohio State,78,,
Cardale Jones,QB (POST),Cleveland,OH,6'5'',220,,,128,,,2012,Ohio State,78,,
Kyle Dodson,OT,Cleveland Heights,OH,6'5'',315,,,,,,2012,Ohio State,77,,
De'Van Bogard,S,Cleveland,OH,5'11'',180,,,45,176,79,2012,Ohio State,77,,
Blake Thomas,TE,Cleveland,OH,6'4'',240,,,84,188, None,2012,Ohio State,77,,
Najee Murray,CB,Steubenville,OH,5'9'',169,,,,,,2012,Ohio State,76,,
Michael Thomas,WR (POST),Woodland Hills,CA,6'3'',195,,,,,,2012,Ohio State,75,,
Luke Roberts,ILB,Lancaster,OH,6'2'',224,,,,,,2012,Ohio State,75,,
Tyvis Powell,S,Bedford,OH,6'3'',180,,,,,,2012,Ohio State,74,,
Eli Apple,CB,Voorhees,NJ,6'0'',185,90,Ohio State,3,,,2013,Ohio State,,1,1
Gareon Conley,CB,Massillon,OH,6'1'',165,87,Ohio State,7,,,2013,Ohio State,,4,1
Trey Johnson,ILB,Lawrenceville,GA,6'1'',215,87,Ohio State,2,,,2013,Ohio State,,27,6
Jalin Marshall,WR,Middletown,OH,5'11'',196,87,Ohio State,5,,,2013,Ohio State,,5,2
Vonn Bell,S,Rossville,GA,6'0'',190,87,Ohio State,4,,,2013,Ohio State,,,
Dontre Wilson,ATH,DeSoto,TX,5'10'',174,86,Ohio State,5,,,2013,Ohio State,,,
Joey Bosa,DT,Fort Lauderdale,FL,6'4'',260,86,Ohio State,7,,,2013,Ohio State,,,
Cam Burrows,CB,Trotwood,OH,6'0'',203,85,Ohio State,9,,,2013,Ohio State,,6,3
Marcus Baugh,TE-H,Riverside,CA,6'4'',229,84,Ohio State,3,,,2013,Ohio State,,14,10
Evan Lisle,OT,Centerville,OH,6'5'',265,84,Ohio State,8,,,2013,Ohio State,,,
Ezekiel Elliott,RB,Saint Louis,MO,6'0'',205,84,Ohio State,11,,,2013,Ohio State,,,
Mike Mitchell,OLB,Plano,TX,6'4'',216,84,Ohio State,10,,,2013,Ohio State,,,
Michael Hill,DT,Pendleton,SC,6'2'',315,83,Ohio State,19,,,2013,Ohio State,,104,4
Jayme Thompson,S,Toledo,OH,6'2'',183,83,Ohio State,218,,,2013,Ohio State,,,
J.T. Barrett,QB-DT,Wichita Falls,TX,6'1'',205,82,Ohio State,11,,,2013,Ohio State,,,
Donovan Munger,DT,Shaker Heights,OH,6'3'',280,82,Ohio State,26,,,2013,Ohio State,,,
Billy Price,DT,Youngstown,OH,6'4'',305,82,Ohio State,,,,2013,Ohio State,,,
James Clark,WR,New Smyrna Beach,FL,5'11'',175,82,Ohio State,49,,,2013,Ohio State,,,
Corey Smith,WR (JC),Akron,OH,6'1'',180,81,Ohio State,8,,,2013,Ohio State,,NR,23
Christopher Worley,OLB,Cleveland,OH,6'3'',190,79,Ohio State,,,,2013,Ohio State,,,
Tracy Sprinkle,DT,Elyria,OH,6'3'',260,79,Ohio State,36,,,2013,Ohio State,,,
Darron Lee,S,New Albany,OH,6'2'',205,79,Ohio State,22,,,2013,Ohio State,,61,28
Tyquan Lewis,DE,Tarboro,NC,6'3'',225,79,Ohio State,47,,,2013,Ohio State,,,
Tim Gardner,OT,Indianapolis,IN,6'5'',315,77,Ohio State,59,,,2013,Ohio State,,93,11
Raekwon McMillan,ILB,Hinesville,GA,6'2'',249,Ohio State,,1,5,1,2014,Ohio State,90,,
Johnnie Dixon,WR,Palm Beach Gardens,FL,5'11'',197,Ohio State,,5,20,7,2014,Ohio State,85,,
Marshon Lattimore,ATH,Cleveland,OH,6'0'',178,Ohio State,,5,2,1,2014,Ohio State,84,,
Damon Webb,CB,Detroit,MI,5'10'',179,Ohio State,,58,,,2014,Ohio State,84,,
Jamarco Jones,OT,Chicago,IL,6'4'',300,Ohio State,,6,,,2014,Ohio State,84,,
Dante Booker Jr.,OLB,Akron,OH,6'3'',212,Ohio State,,8,12,3,2014,Ohio State,83,,
Curtis Samuel,ATH,Brooklyn,NY,5'11'',186,Ohio State,,20,,,2014,Ohio State,83,,
Jalyn Holmes,DE,Norfolk,VA,6'5'',235,Ohio State,,16,,,2014,Ohio State,83,,
Demetrius Knox,OG,Fort Worth,TX,6'4'',296,Ohio State,,11,,,2014,Ohio State,83,,
Parris Campbell Jr.,ATH,Akron,OH,6'0'',184,Ohio State,,22,20,4,2014,Ohio State,83,,
Erick Smith,S,Cleveland,OH,6'1'',185,Ohio State,,11,21,5,2014,Ohio State,83,,
Kyle Berger,OLB,Cleveland,OH,6'2'',222,Ohio State,,23,34,10,2014,Ohio State,81,,
Noah Brown,ATH,Sparta,NJ,6'2'',215,Ohio State,,40,39,13,2014,Ohio State,81,,
Malik Hooker,ATH,New Castle,PA,6'2'',185,Ohio State,,50,,,2014,Ohio State,80,,
Terry McLaurin,WR,Indianapolis,IN,6'0'',184,Ohio State,,61,48,6,2014,Ohio State,80,,
Dylan Thompson,DT,Lombard,IL,6'5'',274,Ohio State,,37,,,2014,Ohio State,80,,
Kyle Trout,OT,Lancaster,OH,6'6'',301,Ohio State,,26,56,16,2014,Ohio State,79,,
Sam Hubbard,OLB,Cincinnati,OH,6'5'',225,Ohio State,,, 44, None,2014,Ohio State,78,,
Marcelys Jones,OT,Cleveland,OH,6'4'',325,Ohio State,,, None, None,2014,Ohio State,78,,
Sean Nuernberger,K,Buckner,KY,6'2'',220,Ohio State,,9,371,6,2014,Ohio State,77,,
Brady Taylor,OT,Columbus,OH,6'4'',267,Ohio State,,129, None,53,2014,Ohio State,75,,
Stephen Collier,QB-PP,Leesburg,GA,6'3'',205,Ohio State,,44,,,2014,Ohio State,75,,
Darius Slade,DE,Montclair,NJ,6'3'',215,Ohio State,,104,146,30,2014,Ohio State,75,,
Nicholas Petit-Frère,OT,Tampa,FL,6'5'',265,,Ohio State,1,,,2018,Ohio State,90,12,6
Taron Vincent,DT,Bradenton,FL,6'2'',299,,Ohio State,2,,,2018,Ohio State,88,5,2
Teradja Mitchell,ILB,Virginia Beach,VA,6'2'',247,,Ohio State,4,,,2018,Ohio State,87,2,2
Jaelen Gill,ATH,Westerville,OH,6'1'',177,,Ohio State,1,,,2018,Ohio State,86,,
Jeremy Ruckert,TE,Lindenhurst,NY,6'6'',230,,Ohio State,37,,,2018,Ohio State,86,20,10
Tyreke Johnson,CB,Jacksonville,FL,6'1'',191,,Ohio State,,,,2018,Ohio State,86,,
Zach Harrison,DE,Lewis Center,OH,6'6'',244,90,Ohio State,3,1,1,2019,Ohio State,4,,
Garrett Wilson,WR,Austin,TX,6'1'',181,88,Ohio State,17,,,2019,Ohio State,4,,
Harry Miller,OC,Buford,GA,6'4'',317,86,Ohio State,2,15,4,2019,Ohio State,4,,
Ronnie Hickman,WR,Wayne,NJ,6'2'',202,84,Ohio State,9,,,2019,Ohio State,4,,
Jameson Williams,WR,Saint Louis,MO,6'2'',171,84,Ohio State,15,,,2019,Ohio State,4,,
Enokk Vimahi,OT,Kahuku,HI,6'5'',286,82,Ohio State,21,33,3,2019,Ohio State,4,,
Ryan Jacoby,OT,Mentor,OH,6'4'',260,82,Ohio State,, None, None,2019,Ohio State,4,,
Steele Chambers,ATH,Roswell,GA,6'1'',210,81,Ohio State,22,,,2019,Ohio State,4,,
Cade Stover,OLB,Lexington,OH,6'4'',220,81,Ohio State,20,20,7,2019,Ohio State,4,,
Noah Potter,DE,Mentor,OH,6'6'',241,80,Ohio State,35,29,10,2019,Ohio State,4,,
Dawand Jones,OT,Indianapolis,IN,6'7'',350,80,Ohio State,38,,,2019,Ohio State,4,,
Marcus Crowley,RB,Jacksonville,FL,6'1'',200,78,Ohio State,38,277,88,2019,Ohio State,4,,
Tommy Eichenberg,ILB,Cleveland,OH,6'3'',225,78,Ohio State,19,,,2019,Ohio State,4,,
Jaden McKenzie,DT,Wake Forest,NC,6'3'',280,78,Ohio State,54,,,2019,Ohio State,4,,
Craig Young,WR,Fort Wayne,IN,6'3'',200,78,Ohio State,97,,,2019,Ohio State,4,,
Bryson Shaw,S,Potomac,MD,6'1'',180,77,Ohio State,50,89,15,2019,Ohio State,4,,
Cormontae Hamilton,TE,Memphis,TN,6'2'',263,75,Ohio State,30,,,2019,Ohio State,3,,
Justin Fields,QB,Kennesaw,GA,6'3'',225,TR,Ohio State,,,,2019,Ohio State,4,,
Quinn Ewers,QB-PP,Southlake,TX,6'3'',205,,Ohio State,1,1,1,2021,Ohio State,95,,
Jack Sawyer,DE,Pickerington,OH,6'5'',230,,Ohio State,1,1,1,2021,Ohio State,91,,
J.T. Tuimoloau,DT,Bellevue,WA,6'5'',280,,Ohio State,1,2,1,2021,Ohio State,90,,
TreVeyon Henderson,RB,Hopewell,VA,5'11'',190,,Ohio State,1,2,1,2021,Ohio State,90,,
Emeka Egbuka,WR,Steilacoom,WA,6'1'',190,,Ohio State,, None, None,2021,Ohio State,87,,
Kyle McCord,QB-PP,Philadelphia,PA,6'3'',205,,Ohio State,5,,,2021,Ohio State,87,,
Jayden Ballard,WR,Massillon,OH,6'2'',170,,Ohio State,5,5,2,2021,Ohio State,86,,
Donovan Jackson,OG,Bellaire,TX,6'4'',305,,Ohio State,2,11,10,2021,Ohio State,86,,
