Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University,University  , Reg_rank, State_rank,School,School  
Joey Olsen,TE-L, Lake Oswego, OR, 6'5'',210,4,82,,14,,,2024,Southern California,,,27,1,, USC  
Marquis Gallegos,S, Chatsworth, CA, 6'1'',175,4,82,,20,,,2024,Southern California,,,30,20,, USC  
Elijah Newby,OLB, Cheshire, CT, 6'3'',185,4,81,,15,,,2024,Southern California,,,,,, USC  
Makai Saina,OG, Arlington, TX, 6'4'',285,4,81,,15,,,2024,Southern California,,,55,46,, USC  
Isaiah Rubin,CB, Los Alamitos, CA, 6'0'',180,4,80,,36,,,2024,Southern California,,,45,28,, USC  
Desman Stephens II,OLB, Clarkston, MI, 6'3'',225,4,80,,26,,,2024,Southern California,,,45,7,, USC  
Carlon Jones,DT, Bay City, TX, 6'3'',270,4,79,,30,,,2024,Southern California,,,,,, USC  
Braylon Conley,CB, Humble, TX, 6'0'',175,4,79,,48,,,2024,Southern California,,,98,76,, USC  
Bryan Jackson,RB, McKinney, TX, 6'1'',225,4,79,,45,,,2024,Southern California,,,,,, USC  
Jarvis Boatwright Jr,ATH, Clearwater, FL, 6'1'',175,4,78,,49,,,2024,Southern California,,,281,85,, USC  
Ratumana Bulabalavu,DT, Carlsbad, CA, 6'4'',260,4,78,,44,,,2024,Southern California,,,87,50,, USC  
Justin Tauanuu,OT, Huntington Beach, CA, 6'6'',275,4,78,,70,,,2024,Southern California,,,90,51,, USC  
Kalolo Ta'aga,OT, San Francisco, CA, 6'6'',250,4,78,,349,,,2024,Southern California,,,79,94,, USC  
Lorenzo Cowan,DE, Savannah, GA, 6'3'',225,4,78,,65,,,2024,Southern California,,,106,15,, USC  
Jadyn Walker,OLB, Portage, MI, 6'2'',205,4,77,,80,,,2024,Southern California,,,241,6,, USC  
Hayden Treter,OG, Englewood, CO, 6'5'',300,4,76,,151,,,2024,Southern California,,,78,10,, USC  
Jide Abasiri,DT, Prior Lake, MN, 6'5'',255,4,76,,,,,2024,Southern California,,, None, None,, USC  
Nate Clifton,DT, LaVergne, TN, 6'6'',280,4,TR,,,,,2024,Southern California,,,,,, USC  
Hank Pepper,LS, Chandler, AZ, 6'2'',210,4,TR,,,,,2024,Southern California,,, None, None,, USC  
Kamari Ramsey,S, Palmdale, CA, 6'1'',205,4,TR,,,,,2024,Southern California,,,,,, USC  
Akili Arnold,CB, Lake Forest, CA, 5'11'',200,4,TR,,,,,2024,Southern California,,, None, None,, USC  
Jo'Quavious Marks,RB, Decatur, GA, 5'10'',210,4,TR,,,,,2024,Southern California,,,,,, USC  
Easton Mascarenas-Arnold,OLB, Lake Forest, CA, 6'0'',225,4,TR,,,,,2024,Southern California,,, None, None,, USC  
John Humphrey,CB, Pasadena, CA, 6'2'',205,4,TR,,,,,2024,Southern California,,, None, None,, USC  
DeCarlos Nicholson,CB, Petal, MS, 6'3'',175,4,TR,,,,,2024,Southern California,,, None, None,, USC  
Jaden Richardson,WR, San Mateo, CA, 6'2'',210,4,TR,,,,,2024,Southern California,,, None, None,, USC  
Jayden Maiava,QB-PP, Honolulu, HI, 6'4'',230,4,TR,,,,,2024,Southern California,,,,,, USC  
Greedy Vance,CB, Kenner, LA, 5'11'',178,4,TR,,,,,2024,Southern California,,,,,, USC  
Kyle Ford,WR, Corona, CA, 6'3'',220,4,TR,,,,,2024,Southern California,,,,,, USC  
Gavin Meyer,DT, Franklin, WI, 6'4'',282,4,TR,,,,,2024,Southern California,,,,,, USC  
