Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,Stars, Reg_rank, State_rank,University ,School
Jaylan Knighton,RB,Lauderhill,FL,University of Miami-FL,5'10'',,SMU,,,,2023,Southern Methodist,190,,,,
Jonathan McGill,S,Coppell,TX,Stanford University,5'9'',,SMU,, None, None,2023,Southern Methodist,185,,,,
Charles Woods,CB,Dallas,TX,West Virginia University,6'1'',,SMU,,,,2023,Southern Methodist,185,,,,
L.J. Johnson Jr.,RB,Cypress,TX,Texas A&M University,5'10'',,SMU,,,,2023,Southern Methodist,215,,,,
P.J. Williams,OT,Dickinson,TX,Texas A&M University,6'4'',,SMU,,,,2023,Southern Methodist,285,,,,
Chris Megginson,CB,Lynchburg,VA,Heritage High School,6'0'',,SMU,,,,2023,Southern Methodist,190,,,,
Robert Rahimi,S,San Antonio,TX,Liberty University,6'1'',,SMU,,,,2023,Southern Methodist,185,,,,
Jaelyn Davis-Robinson,CB,Waxahachie,TX,Louisiana State University,6'0'',,SMU,,,,2023,Southern Methodist,180,,,,
Logan Parr,OG,Helotes,TX,University of Texas,6'4'',,SMU,,,,2023,Southern Methodist,314,,,,
Alex Padilla,QB,Greenwood Village,CO,University of Iowa,6'1'',,SMU,,,,2023,Southern Methodist,200,,,,
Romello Brinson,WR,Miami,FL,University of Miami-FL,6'2'',,SMU,,,,2023,Southern Methodist,185,,,,
Derrick McFall,ATH,Tyler,TX,5'10'',180,80.0,,34,,,2024,Southern Methodist,,78,62,,John Tyler High School
Ka'Davion Dotson-Walker,S,Duncanville,TX,5'11'',185,79.0,,23,,,2024,Southern Methodist,,132,103,,Duncanville High School
Brandon Booker,ILB,DeSoto,TX,6'1'',205,78.0,,77,,,2024,Southern Methodist,,100,58,,DeSoto High School
King Large,OT,Bellflower,CA,6'5'',300,77.0,,76,,,2024,Southern Methodist,,181,143,,St. John Bosco High School
William Nettles,ATH,Mesquite,TX,5'11'',175,77.0,,74,,,2024,Southern Methodist,,,,,Dallas Christian High
Jaylen Moses,S,Carrollton,TX,5'10'',175,77.0,,46,,,2024,Southern Methodist,,,,,Newman Smith High School
Zach Smith,ILB,Red Oak,TX,5'11'',205,76.0,,47,,,2024,Southern Methodist,,,,,Red Oak High School
Tyler Aronson,QB-PP,Vero Beach,FL,6'2'',220,76.0,,130,,,2024,Southern Methodist,,275,210,,Vero Beach Senior High School
Alexander Rodgers,CB,Cedar Hill,TX,5'9'',170,75.0,,184,,,2024,Southern Methodist,,,,,Cedar Hill High School
Graham Uter,OT,Daphne,AL,6'5'',290,72.0,,,,,2024,Southern Methodist,, None,,,Bayside Academy
Jonathan Jefferson,DT,Douglasville,GA,6'3'',295,,,,,,2024,Southern Methodist,,,,,University of Georgia
Ashton Cozart,WR,Highland Village,TX,6'3'',195,,,,,,2024,Southern Methodist,, None, None,,University of Oregon
Omari Abor,DE,DeSoto,TX,6'3'',258,,,,,,2024,Southern Methodist,,,,,The Ohio State University
Jahfari Harvey,DE,Port Saint Lucie,FL,6'4'',252,,,,,,2024,Southern Methodist,, None, None,,University of Miami-FL
Mike Lockhart,DT,Birmingham,AL,6'4'',295,,,,,,2024,Southern Methodist,, None, None,,West Virginia University
Nathan Anderson,OG,Frisco,TX,6'4'',309,,,,,,2024,Southern Methodist,, None, None,,University of Oklahoma
Savion Byrd,OT,Cedar Hill,TX,6'5'',296,,,,,,2024,Southern Methodist,, None, None,,University of Oklahoma
Isaac Pearson,K,Melbourne,AUS,6'2'',223,,,,,,2024,Southern Methodist,,,,,University of Texas
Justin Medlock,ILB,Salt Lake City,UT,6'0'',220,,,,,,2024,Southern Methodist,,,,,University of Utah
Deuce Harmon,CB,Corinth,TX,5'10'',185,,,,,,2024,Southern Methodist,,,,,Texas A&M University
Tank Booker,DT,Cincinnati,OH,6'4'',351,,,,,,2024,Southern Methodist,, None, None,,University of Arkansas
Brashard Smith,WR,Miami,FL,5'10'',196,,,,,,2024,Southern Methodist,, None, None,,University of Miami-FL
Blake Burris,DT,Euless,TX,6'5'',300,,,,,,2024,Southern Methodist,,,,,Texas Tech University
Matthew Hibner,TE-Y,Burke,VA,6'5'',254,,,,,,2024,Southern Methodist,,,,,University of Michigan
Qae'shon Sapp,OT,Greenville,NC,6'4'',318,,,,,,2024,Southern Methodist,, None, None,,East Carolina University
Jared Harrison-Hunte,DT,Middle Village,NY,6'4'',285,,,,,,2024,Southern Methodist,, None, None,,University of Miami-FL
Billy Walton,DE,Grand Prairie,TX,6'3'',225,,,,,,2024,Southern Methodist,,,,,University of Texas
Andrew Chamblee,OT,North Little Rock,AR,6'6'',304,,,,,,2024,Southern Methodist,,,,,University of Arkansas
Paris Patterson Jr.,OG,East Saint Louis,IL,6'6'',352,,,,,,2024,Southern Methodist,,,,,University of Arkansas
