Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School,University 
Jermaine Johnson,OT,Fort Lauderdale,FL,6'6'',330,,76.0,Miami,, None, None,2009,Miami (FL),,,,
Jared Wheeler,OG,Plantation,FL,6'4'',295,,75.0,Miami,113,462,176,2009,Miami (FL),,,,
Malcolm Bunche,OT,Newark,DE,6'6'',315,,75.0,Miami,87,200, NR,2009,Miami (FL),,,,
Shayon Green,DE,Tifton,GA,6'2'',235,,73.0,Miami,140,591,118,2009,Miami (FL),,,,
Stephen Plein,TE,Fort Myers,FL,6'6'',240,,,Miami,,,,2009,Miami (FL),,,,
Seantrel Henderson,OT,Saint Paul,MN,6'7'',295,,86,Miami,1.0,,,2010,Miami (FL),,,,
Storm Johnson,RB,Loganville,GA,5'11'',210,,83,Miami,,,,2010,Miami (FL),,,,
Eduardo Clements,RB,Miami,FL,5'11'',185,,80,Miami,14,,,2010,Miami (FL),NR,NR,,
Latwan Anderson,S,Cleveland,OH,5'11'',185,,79,Miami,17,,,2010,Miami (FL), NR, NR,,
Darion Hall,RB,Naples,FL,5'11'',200,,78,Miami,30,,,2010,Miami (FL),,,,
Maurice Hagens,FB,Tampa,FL,5'11'',230,,76,Miami,4,,,2010,Miami (FL),,,,
Anthony Chickillo,DE,Tampa,FL,6'3'',240,83,Miami,,5,16, NR,2011,Miami (FL),,,,
Kevin Grooms,RB,Hollywood,FL,5'10'',175,81,Miami,,11,,,2011,Miami (FL),,,,
Dallas Crawford,CB,Fort Myers,FL,5'10'',185,80,Miami,,8,,,2011,Miami (FL),,,,
Jalen Grimble,DE,Las Vegas,NV,6'4'',252,79,Miami,,25,,,2011,Miami (FL),,,,
Gionni Paul,OLB,Lakeland,FL,6'0'',222,79,Miami,,22,,,2011,Miami (FL),,,,
Phillip Dorsett,WR,Fort Lauderdale,FL,5'9'',167,79,Miami,,47,154, None,2011,Miami (FL),,,,
Denzel Perryman,ILB,Coral Gables,FL,5'11'',215,78,Miami,,28,253, NR,2011,Miami (FL),,,,
Olsen Pierre,DE,Rahway,NJ,6'4'',260,78,Miami,,,,,2011,Miami (FL),,,,
Thomas Finnie,CB,Miami,FL,5'9'',170,78,Miami,,29,262, NR,2011,Miami (FL),,,,
Rashawn Scott,WR,Melbourne,FL,6'1'',195,77,Miami,,363,,,2011,Miami (FL),,,,
Matt Goudis,K,West Hills,CA,6'0'',165,77,Miami,,18,,,2011,Miami (FL),,,,
Ricardo Williams,DE,Homestead,FL,6'4'',210,77,Miami,,102,372, None,2011,Miami (FL),,,,
Antonio Kinard,OLB,Youngstown,OH,6'4'',215,77,Miami,,, None, None,2011,Miami (FL),,,,
Eddie Johnson,ILB,Atlanta,GA,6'1'',220,75,Miami,,43,,,2011,Miami (FL),,,,
Taylor Gadbois,OT,Dallas,GA,6'6'',275,73,Miami,,160,649,146,2011,Miami (FL),,,,
Corey King,DT,Boca Raton,FL,6'1'',265,NR,Miami,,180, NR, NR,2011,Miami (FL),,,,
Thurston Armbrister,ATH,Hollywood,FL,6'1'',190,NR,Miami,,NR, NR, NR,2011,Miami (FL),,,,
Dalton Botts,K,Woodland Hills,CA,6'4'',205,TR,Miami,,, None, None,2011,Miami (FL),,,,
Ryan Williams,QB,Miramar,FL,6'5'',220,TR,Miami,,, None, None,2011,Miami (FL),,,,
Tracy Howard,CB,Miramar,FL,5'11'',175,83,Miami,,18,8,3,2012,Miami (FL),,,,
Randy Johnson,ATH,Miami,FL,5'9'',180,82,Miami,,6,18,8,2012,Miami (FL),,,,
Angelo Jean-Louis,WR,Wellington,FL,6'0'',185,82,Miami,,4,20,9,2012,Miami (FL),,,,
Tyriq McCord,DE,Tampa,FL,6'3'',220,80,Miami,,13,46,20,2012,Miami (FL),,,,
Deon Bush,S,Miami,FL,6'1'',177,80,Miami,,4,48,21,2012,Miami (FL),,,,
Malcolm Lewis,WR,Miramar,FL,5'11'',185,80,Miami,,145,65,25,2012,Miami (FL),,,,
Raphael Kirby,OLB,Stone Mountain,GA,6'1'',215,80,Miami,,13,72,14,2012,Miami (FL),,,,
Preston Dewey,QB,Austin,TX,6'2'',200,80,Miami,,, None, None,2012,Miami (FL),,,,
Daniel Isidora,OG,Weston,FL,6'3'',336,79,Miami,,17,114,40,2012,Miami (FL),,,,
Jelani Hamilton,DE,Fort Lauderdale,FL,6'4'',245,79,Miami,,37,147,51,2012,Miami (FL),,,,
Rob Lockhart,WR,Boca Raton,FL,6'1'',180,79,Miami,,, None, None,2012,Miami (FL),,,,
Jawand Blue,ILB,Boca Raton,FL,6'0'',194,79,Miami,,18,174,61,2012,Miami (FL),,,,
Jontavious Carter,WR,Cordele,GA,6'3'',192,79,Miami,,56,,,2012,Miami (FL),,,,
D'Mauri Jones,WR,Lessburg,FL,6'3'',185,79,Miami,,49,,,2012,Miami (FL),,,,
Josh Witt,OLB,Weston,FL,6'1'',215,78,Miami,,57,229,76,2012,Miami (FL),,,,
Ereck Flowers,OT,Miami,FL,6'6'',295,78,Miami,,,,,2012,Miami (FL),,,,
Gabriel Terry,OLB,Wellington,FL,6'3'',210,78,Miami,,44,247,16,2012,Miami (FL),,,,
Jacoby Briscoe,DT,Lafayette,LA,6'4'',290,78,Miami,,269,67,89,2012,Miami (FL),,,,
Dwayne Hoilett,DE,Vero Beach,FL,6'3'',212,78,Miami,,303,,,2012,Miami (FL),,,,
