Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,School,University 
OT,Nashville,TN,6'6'',275,76,,University of Miami,,,,,2020,Miami (FL),,,,
WR,Winter Park,FL,5'11'',180,76,,University of Miami,,,,,2020,Miami (FL),,,,
WR,Lincoln,CA,6'0'',165,76,,University of Miami,,,,,2020,Miami (FL),,,,
S,Miramar,FL,6'0'',180,75,,University of Miami,,,,,2020,Miami (FL),,,,
ATH,Deerfield Beach,FL,5'10'',185,74,,University of Miami,,,,,2020,Miami (FL),,,,
QB-DT,Manvel,TX,University of Houston,5'11'',195,,University of Miami,,,,,2020,Miami (FL),,,,
DE,Owings Mills,MD,Temple University,6'4'',235,,University of Miami,,,,,2020,Miami (FL),,,,
K,Miami,FL,Florida International University,5'10'',190,,University of Miami,,,,,2020,Miami (FL),,,,
Khamauri Rogers,CB,Lexington,MS,5'11'',160,86.0,Miami,,45,22,3,2022,Miami (FL),,,,
Cyrus Moss,OLB,Las Vegas,NV,6'5'',210,85.0,Miami,,8,5,1,2022,Miami (FL),,,,
Jaleel Skinner,TE-H,Bradenton,FL,6'5'',210,83.0,Miami,,2,52,14,2022,Miami (FL),,,,
Nyjalik Kelly,DE,Fort Lauderdale,FL,6'4'',240,83.0,Miami,,13,53,15,2022,Miami (FL),,,,
Chris Graves,ATH,Fort Myers,FL,6'1'',175,83.0,Miami,,14,57,17,2022,Miami (FL),,,,
TreVonte' Citizen,RB,Lake Charles,LA,6'0'',215,83.0,Miami,,19,80,24,2022,Miami (FL),,,,
Wesley Bissainthe,OLB,Miami,FL,6'1'',205,82.0,Miami,,6,,,2022,Miami (FL),,,,
Jacurri Brown,QB-DT,Valdosta,GA,6'4'',210,82.0,Miami,,18,102,31,2022,Miami (FL),,,,
Markeith Williams,S,Orlando,FL,6'1'',170,81.0,Miami,,38,115,7,2022,Miami (FL),,,,
Isaiah Horton,WR,Murfreesboro,TN,6'3'',190,81.0,Miami,,35,123,29,2022,Miami (FL),,,,
Jaden Harris,CB,Atlanta,GA,5'11'',180,80.0,Miami,,32,149,46,2022,Miami (FL),,,,
Matthew McCoy,OT,Saint John's,FL,6'6'',280,80.0,Miami,,43,212,70,2022,Miami (FL),,,,
Ahmad Moten,DT,Fort Lauderdale,FL,6'3'',290,79.0,Miami,,66,,,2022,Miami (FL),,,,
Anez Cooper,OG,Pleasant Grove,AL,6'5'',340,75.0,Miami,,,,,2022,Miami (FL),,,,
Jacob Lichtenstein,DE (TR),Weston,FL,6'6'',270,,Miami,,,,,2022,Miami (FL),,,,
Henry Parrish,RB (TR),Miami,FL,5'10'',183,,Miami,,, None, None,2022,Miami (FL),,,,
Frank Ladson,WR (TR),Miami,FL,6'3'',200,,Miami,,, None, None,2022,Miami (FL),,,,
Logan Sagapolu,OG (TR),Lehi,UT,6'3'',340,,Miami,,, None, None,2022,Miami (FL),,,,
Antonio Moultrie,DE (TR),Pensacola,FL,6'2'',260,,Miami,,,,,2022,Miami (FL),,,,
Francis Mauigoa,OT,Bradenton,FL,6'6'',325,,92,Miami,1,,,2023,Miami (FL),3,1,,
