Name,Pos,City,State,Height,Weight,Stars,Grade,University ,Pos_rank,Reg_rank,State_rank,Year,Team,University  , Reg_rank, State_rank,University,School
Makiya Tongue,ATH,Baton Rouge,LA,6'1'',210,,84,,8,,,2019,Georgia,,49,6,Georgia,
Rian Davis,OLB,Apopka,FL,6'3'',233,,84,,9,,,2019,Georgia,,51,15,Georgia,
William Norton,OT,Memphis,TN,6'5'',270,,84,,13,,,2019,Georgia,,,,Georgia,
Ryland Goede,TE,Kennesaw,GA,6'7'',238,,83,,4,,,2019,Georgia,,76,16,Georgia,
Xavier Truss,OT,Warwick,RI,6'8'',350,,83,,15,,,2019,Georgia,,14,1,Georgia,
Jermaine Johnson,DE,Eden Prairie,MN,6'5'',240,,83,,1,,,2019,Georgia,, None, None,Georgia,
D.J. Daniel,CB,Griffin,GA,5'11'',180,,82,,2,,,2019,Georgia,,,,Georgia,
Kenny McIntosh,RB,Fort Lauderdale,FL,6'1'',216,,82,,14,,,2019,Georgia,,,,Georgia,
Warren McClendon,OT,Brunswick,GA,6'5'',304,,80,,33,,,2019,Georgia,,,,Georgia,
Dwan Mathis,QB-DT,Oak Park,MI,6'4'',197,,80,,14,,,2019,Georgia,,24,6,Georgia,
Tymon Mitchell,DT,Nashville,TN,6'3'',309,,79,,34,,,2019,Georgia,,,,Georgia,
Tramel Walthour,DT,Hinesville,GA,6'3'',280,,79,,6,,,2019,Georgia,,,,Georgia,
Zion Logue,DE,Lebanon,TN,6'6'',277,,77,,106,,,2019,Georgia,,,,Georgia,
Brett Seither,TE,HClearwater,FL,6'4'',225,,75,,26,,,2019,Georgia,,520,174,Georgia,
Stetson Bennett IV,QB-PP,Blackshear,GA,6'0'',185,,74,,5,,,2019,Georgia,,,,Georgia,
Kelee Ringo,CB,Scottsdale,AZ,6'2'',200,1.0,91.0,,1,2,1,2020,Georgia,,,,Georgia,
Broderick Jones,OT,Lithonia,GA,6'5'',300,1.0,91.0,,1,4,2,2020,Georgia,,,,Georgia,
Jalen Carter,DT,Apopka,FL,6'4'',300,2.0,90.0,,2,,,2020,Georgia,,,,Georgia,
Mekhail Sherman,ILB,Washington,DC,6'2'',233,2.0,89.0,,18,4,1,2020,Georgia,,,,Georgia,
Darnell Washington,TE-Y,Las Vegas,NV,6'8'',250,2.0,89.0,,2,,,2020,Georgia,,,,Georgia,
Arian Smith,ATH,Lakeland,FL,6'0'',170,1.0,86.0,,1,,,2020,Georgia,,,,Georgia,
Marcus Rosemy,WR,Fort Lauderdale,FL,6'2'',190,4.0,86.0,,4,20,7,2020,Georgia,,,,Georgia,
Chad Lindberg,OT,League City,TX,6'6'',325,5.0,85.0,,5,13,11,2020,Georgia,,,,Georgia,
Sedrick Van Pran,OC,New Orleans,LA,6'4'',302,2.0,84.0,,2,,,2020,Georgia,,,,Georgia,
Tate Ratledge,OT,Rome,GA,6'5'',295,11.0,84.0,,11,,,2020,Georgia,,,,Georgia,
Major Burns,CB,Baton Rouge,LA,6'2'',175,7.0,84.0,,7,33,4,2020,Georgia,,,,Georgia,
Jalen Kimber,CB,Arlington,TX,6'0'',170,8.0,84.0,,8,22,17,2020,Georgia,,,,Georgia,
Kendall Milton,RB,Clovis,CA,6'1'',211,12.0,84.0,,12,,,2020,Georgia,,,,Georgia,
Jermaine Burton,WR,Calabasas,CA,6'1'',190,13.0,84.0,,13,,,2020,Georgia,,,,Georgia,
Carson Beck,QB-PP,Jacksonville,FL,6'5'',225,14.0,81.0,,14,,,2020,Georgia,,,,Georgia,
Nazir Stackhouse,DT,Decatur,GA,6'2'',297,17.0,81.0,,17,,,2020,Georgia,,,,Georgia,
Warren Brinson,DT,Bradenton,FL,6'3'',300,21.0,80.0,,21,147,53,2020,Georgia,,,,Georgia,
Daijun Edwards,RB,Moultrie,GA,5'10'',198,33.0,79.0,,33,185,41,2020,Georgia,,,,Georgia,
Justin Robinson,WR,McDonough,GA,6'4'',200,97.0,78.0,,,,,2020,Georgia,,,,Georgia,
Daran Branch,S,Amite,LA,6'1'',175,34.0,78.0,,34,269,23,2020,Georgia,,,,Georgia,
Devin Willock,OG,Paramus,NJ,6'6'',350,39.0,77.0,,39,91,17,2020,Georgia,,,,Georgia,
Ladd McConkey,WR,Chatsworth,GA,6'0'',175,152.0,76.0,,152,,,2020,Georgia,,,,Georgia,
Jared Zirkel,K,Kerrville,TX,6'3'',180,11.0,75.0,,11,,,2020,Georgia,,,,Georgia,
Austin Blaske,OG,Guyton,GA,6'5'',270,90.0,74.0,,90,,,2020,Georgia,,,,Georgia,
Cameron Kinnie,OG,Suwanee,GA,6'3'',295,101.0,74.0,,101,,,2020,Georgia,,,,Georgia,
Jamie Newman,QB-DT (TR),Graham,NC,6'4'',230,,,,,,,2020,Georgia,,,,Georgia,
Tre' McKitty,TE-H (TR),Wesley Chapel,FL,6'4'',235,,,,,,,2020,Georgia,,,,Georgia,
J.T. Daniels,QB-PP (TR),Irvine,CA,6'2'',220,,,,,,,2020,Georgia,,,,Georgia,
Jasper Williams,ILB,Suwanee,GA,6'1'',210.0,,55.0,,,,,2021,Georgia,,,,Georgia Bulldogs,
Brett Skene,WR,Denver,CO,6'1'',190.0,,78.0,,,,,2021,Georgia,,,,Georgia Bulldogs,
Stephen Shaffer,TE,Austin,TX,6'3'',235.0,,,,,,,2021,Georgia,,,,Georgia Bulldogs,
Phillip Ofili,S,Cypress,TX,6'1'',185.0,,64.0,,,,,2021,Georgia,,,,Georgia Bulldogs,
Brent McElfresh,WR,Stephenville,TX,6'1'',180.0,,,,,,,2021,Georgia,,,,Georgia Bulldogs,
Ronnie Lillard,ILB,Lehigh Acres,FL,6'3'',200.0,,69.0,,,,,2021,Georgia,,,,Georgia Bulldogs,
Steve Jones,CB,Kansas City,MO,,,,,,,,,2021,Georgia,,,,Georgia Bulldogs,
Chad Gross,K,Suwanee,GA,,,,,,,,,2021,Georgia,,,,Georgia Bulldogs,
Irvin George,RB,Orlando,FL,5'11'',190.0,,,,,,,2021,Georgia,,,,Georgia Bulldogs,
P.J. Adeji-Paul,S,Tulsa,OK,6'0'',180.0,,64.0,,,,,2021,Georgia,,,,Georgia Bulldogs,
Jeff Abt,QB,Houston,TX,6'2'',190.0,,75.0,,,,,2021,Georgia,,,,Georgia Bulldogs,
Ellis Robinson IV,CB,Bradenton,FL,6'1'',180,92.0,,,1,,,2024,Georgia,,1,1,,
Justin Williams,ILB,Conroe,TX,6'2'',205,91.0,,,1,,,2024,Georgia,,,,,
K.J. Bolden,S,Buford,GA,6'1'',190,90.0,,,1,,,2024,Georgia,,,,,
Chris Cole,OLB,Salem,VA,6'4'',210,90.0,,,1,,,2024,Georgia,,2,1,,
Joseph Jonah-Ajonye,DT,Conroe,TX,6'4'',255,88.0,,,3,,,2024,Georgia,,8,7,,
Jaden Reddell,TE-H,Peculiar,MO,6'5'',230,86.0,,,1,,,2024,Georgia,,,,,
Demello Jones,S,Swainsboro,GA,6'0'',185,85.0,,,4,,,2024,Georgia,,32,9,,
Nathaniel Frazier,RB,Santa Ana,CA,5'11'',205,85.0,,,3,,,2024,Georgia,,5,4,,
Jordan Thomas,DT,Ramsey,NJ,6'6'',285,84.0,,,6,,,2024,Georgia,,7,1,,
Michael Uini,OT,Copperas Cove,TX,6'7'',285,84.0,,,7,,,2024,Georgia,,18,15,,
Daniel Calhoun,OT,Marietta,GA,6'7'',355,84.0,,,10,,,2024,Georgia,,48,15,,
Ryan Puglisi,QB-PP,Avon,CT,6'3'',205,84.0,,,6,,,2024,Georgia,,12,3,,
Kristopher Jones,OLB,Fairfax,VA,6'3'',220,83.0,,,9,,,2024,Georgia,,13,2,,
NiTareon Tuggle,WR,Nappanee,IN,6'1'',195,83.0,,,18,,,2024,Georgia,,,,,
Ondre Evans,CB,Nashville,TN,6'1'',185,83.0,,,133,,,2024,Georgia,,61,1,,
Dwight Phillips,ATH,Mableton,GA,5'11'',175,83.0,,,134,,,2024,Georgia,,62,18,,
Chauncey Bowens,RB,North Palm Beach,FL,6'0'',220,83.0,,,11,,,2024,Georgia,,64,21,,
Nyier Daniels,OT,Oradell,NJ,6'8'',350,83.0,,,15,,,2024,Georgia,,,,,
Justin Greene,DE,Lawrenceville,GA,6'5'',260,83.0,,,20,,,2024,Georgia,,,,,
Nasir Johnson,DT,Dublin,GA,6'5'',300,82.0,,,12,,,2024,Georgia,,,,,
Marques Easley,OT,Kankakee,IL,6'7'',300,81.0,,,22,,,2024,Georgia,,,,,
Quintavius Johnson,DE,Atlanta,GA,6'4'',255,80.0,,,40,,,2024,Georgia,,156,42,,
Colton Heinrich,TE-H,Fort Lauderdale,FL,6'4'',230,79.0,,,22,,,2024,Georgia,,200,59,,
Sacovie White,ATH,Cartersville,GA,5'10'',175,79.0,,,38,,,2024,Georgia,,221,61,,
Malachi Toliver,OT,Cartersville,GA,6'6'',310,79.0,,,50,,,2024,Georgia,,,,,
Nnamdi Ogboko,DT,Garner,NC,6'3'',330,78.0,,,46,,,2024,Georgia,,296,20,,
Marcus Harrison,OT,Athol Springs,NY,6'7'',310,77.0,,,99,,,2024,Georgia,,85,4,,
Drew Miller,K,Mediapolis,IA,6'2'',195,76.0,,,3,,,2024,Georgia,,,,,
Trevor Etienne,RB,Jennings,LA,5'9'',205,,TR,,,,,2024,Georgia,,,,Georgia,
London Humphreys,WR,Nashville,TN,6'3'',186,,TR,,,,,2024,Georgia,, None, None,Georgia,
Xzavier McLeod,DT,Camden,SC,6'5'',284,,TR,,,,,2024,Georgia,,,,Georgia,
Colbie Young,WR,Binghamton,NY,6'5'',215,,TR,,,,,2024,Georgia,, None, None,Georgia,
Michael Jackson III,WR,Las Vegas,NV,6'0'',200,,TR,,,,,2024,Georgia,,,,Georgia,
Jake Pope,S,Buford,GA,6'1'',192,,TR,,,,,2024,Georgia,, None, None,Georgia,
Ben Yurosek,TE-Y,Bakersfield,CA,6'4'',242,,TR,,,,,2024,Georgia,, None, None,Georgia,
Jaden Rashada,QB-PP,Antioch,CA,6'4'',185,,TR,,,,,2024,Georgia,, None, None,Georgia,
