Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,State_rank ,State_rank  
Will Simmons,OT,Ahoskie,NC,6'5'',322,East Carolina,,152,366,NR,2009,East Carolina,69.0,,,,
Dante Burton,TE,Paterson,NJ,6'2'',215,East Carolina,,,,,2009,East Carolina,68.0,,,,
Perry James,CB,Mocksville,NC,6'0'',175,East Carolina,,NR,,,2009,East Carolina,,,,,
Marke Powell,LB,Troy,NC,6'2'',190,East Carolina,,, None, None,2009,East Carolina,,,,,
Jordan Davis,DT,Fort Walton Beach,FL,6'3'',290,East Carolina,,,,,2009,East Carolina,,,,,
Michael Brooks,DT,Yanceyville,NC,6'3'',290,East Carolina,,,,,2009,East Carolina,,,,,
Kyle Tudor,LB,Evans,GA,6'2'',190,East Carolina,,, None, None,2009,East Carolina,,,,,
Lamar McLendon,LB,Fayetteville,NC,6'1'',210,East Carolina,,,,,2009,East Carolina,,,,,
Ty Holmes,S,Lexington,NC,6'1'',205,East Carolina,,NR, NR, NR,2009,East Carolina,,,,,
Jimmy Booth,DT,Greenville,NC,6'3'',285,East Carolina,,,,,2009,East Carolina,,,,,
Mike Price,WR,New Bern,NC,6'2'',160,East Carolina,,,,,2009,East Carolina,,,,,
Giavanni Ruffin,RB,Visalia,CA,6'1'',210,East Carolina,,, None, None,2009,East Carolina,,,,,
Korey Reynolds,DE,Birmingham,AL,6'3'',245,East Carolina,,, None, None,2009,East Carolina,,,,,
Alfy Hill,DE,Shallotte,NC,6'4'',240,East Carolina,,6,,,2010,East Carolina,81,,,,
Justin Dixon,ILB,Smithfield,NC,6'0'',230,East Carolina,,,,,2010,East Carolina,78,,,,
Drew Gentry,OT,Tallahassee,FL,6'7'',296,East Carolina,,,,,2010,East Carolina,77,,,,
Desi Brown,ATH,Norwood,NC,6'2'',190,East Carolina,,,,,2010,East Carolina,77,,,,
Alex Owah,RB,Harrisonburg,VA,5'11'',190,East Carolina,,,,,2010,East Carolina,77,,,,
Torian Richardson,WR,Duncan,SC,5'11'',174,East Carolina,,'NR',,,2010,East Carolina,77,,,,
Lamar Ivey,ATH,Mebane,NC,6'1'',182,East Carolina,,108,,,2010,East Carolina,76,,,,
Taylor Hudson,OG,Mauldin,SC,6'4'',280,East Carolina,,,,,2010,East Carolina,76,,,,
Detric Allen,ATH,Norwood,NC,6'1'',180,East Carolina,,129,,,2010,East Carolina,75,,,,
Damon Magazu,ATH,Charlotte,NC,5'11'',170,East Carolina,,141,,,2010,East Carolina,75,,,,
Jacob Geary,ILB,Hillsborough,NC,6'3'',225,East Carolina,,,,,2010,East Carolina,74,,,,
Chrishon Rose,DT,Forestville,MD,6'4'',260,East Carolina,,74,,,2010,East Carolina,74,,,,
Terry Williams,ILB,Loganville,GA,6'0'',250,East Carolina,,74,,,2010,East Carolina,74,,,,
Damonte Terry,RB,Laurinburg,NC,6'0'',190,East Carolina,,,,,2010,East Carolina,74,,,,
Jeremy Grove,ILB,Frederick,MD,6'1'',226,East Carolina,,,,,2010,East Carolina,73,,,,
Lee Pegues,DT,Bennettsville,SC,6'2'',255,East Carolina,,,,,2010,East Carolina,68,,,,
Maurice Falls,OLB,Belmont,NC,,203,,,,,,2010,East Carolina,East Carolina,,,,
Shane Carden,QB,Bellaire,TX,6'2'',200,,,NR,,,2010,East Carolina,East Carolina,,,,
Mack Helms,OT,Tallahassee,FL,6'4'',275,,,,,,2010,East Carolina,East Carolina,,,,
Derrell Johnson,DE,Baltimore,MD,6'1'',220,,,NR,,,2010,East Carolina,East Carolina,,,,
Dominique Davis,QB,Lakeland,FL,6'4'',195,,,,,,2010,East Carolina,East Carolina,,,,
Bradley Jacobs,S,Long Beach,MS,5'10'',190,,,,,,2010,East Carolina,East Carolina,,,,
Diavalo Simpson,OG,Moss Point,MS,6'3'',275,,,,,,2010,East Carolina,East Carolina,,,,
Lance Lewis,WR,Concord,NC,6'2'',200,,,,,,2010,East Carolina,East Carolina,,,,
Anthony Garrett,OT,Prairie Village,KS,6'5'',295,,,NR,,,2010,East Carolina,East Carolina,,,,
Chevelle Buie,RB,Cocoa,FL,5'8'',152,77.0,East Carolina,368,,,2011,East Carolina,,,,,
Danny Webster,ATH,Havelock,NC,5'11'',170,77.0,East Carolina,,,,2011,East Carolina,,,,,
Zeek Bigger,OLB,Gastonia,NC,6'2'',205,76.0,East Carolina,96,,,2011,East Carolina,,,,,
Donte Sumpter,WR,Myrtle Beach,SC,5'10'',165,76.0,East Carolina,112,,,2011,East Carolina,,,,,
Terrell Stanley,DT,Southport,NC,6'1'',254,75.0,East Carolina,98,,,2011,East Carolina,,194,,,
Christopher Hairston,RB,Winston-Salem,NC,6'0'',195,75.0,East Carolina,116,,,2011,East Carolina,,211,NR,,
Domonique Lennon,S,Suffolk,VA,6'1'',190,74.0,East Carolina,100,,,2011,East Carolina,,,,,
Stewart Hinson,OT,Monroe,NC,6'7'',270,74.0,East Carolina,135,,,2011,East Carolina,,238,NR,,
William Foxx,OG,Oak Ridge,NC,6'1'',285,74.0,East Carolina,74,,,2011,East Carolina,,,,,
Chaz Lowery,OT,Virginia Beach,VA,6'4'',253,73.0,East Carolina,162,,,2011,East Carolina,,270,46,,
Treshawn Council,OLB,Durham,NC,6'0'',205,72.0,East Carolina,161,,,2011,East Carolina,,293,,,
Antonio Cannon,WR,Central,SC,6'2'',175,72.0,East Carolina,211,,,2011,East Carolina,,738,43,,
Rocco Scarfone,QB,Greensboro,NC,5'11'',155,66.0,East Carolina,155,,,2011,East Carolina,,,,,
Montese Overton,OLB,Greenville,NC,6'1'',200,,East Carolina,217,,,2011,East Carolina,,,,,
Curtis Struyk,OG,Morehead City,NC,6'0'',269,,East Carolina,,,,2011,East Carolina,,,,,
Isaac Harris,OT,Irmo,SC,6'7'',254,,East Carolina,,,,2011,East Carolina,,,,,
Glen Hilliard,CB,Anderson,SC,6'0'',173,,East Carolina,128,,,2011,East Carolina,,,,,
Tre Robertson,OT,Roxboro,NC,6'4'',310,,East Carolina,216,,,2011,East Carolina,,,,,
Jeton Beavers,DE,Virginia Beach,VA,6'4'',245,,East Carolina,NR,,,2011,East Carolina,,NR,NR,,
Dontrill Hyman,DE,Warsaw,NC,6'6'',250,,East Carolina,,,,2011,East Carolina,,,,,
Jonathan White,DT,High Point,NC,6'4'',275,,East Carolina,180.0,,,2011,East Carolina,,,,,
Deondre Farrier,WR,Orlando,FL,6'0'',179,East Carolina,,123,,,2015,East Carolina,77.0,414,,142,
Shawn Furlow,RB,Winterville,NC,5'10'',187,East Carolina,,111,,,2015,East Carolina,75.0,,,,
Darius Anderson,OG,Jonesboro,GA,6'3'',333,East Carolina,,,,,2015,East Carolina,74.0,,,,
Justin Brown,DT,Ayden,NC,6'3'',315,East Carolina,,74,,,2015,East Carolina,74.0,,,,
Corey Seargent,S,Rock Hill,SC,6'0'',190,East Carolina,,,,,2015,East Carolina,74.0,,,,
Justin Strozier,WR,Stockbridge,GA,6'1'',170,East Carolina,,180,,,2015,East Carolina,73.0,,,,
Abu Kai Kai,DE,Nokesville,VA,6'1'',240,East Carolina,,143,,,2015,East Carolina,72.0,216,,,
John Jacobs III,QB,Shawnee,OK,6'0'',210,East Carolina,,,,,2015,East Carolina,72.0,,,,
Nhyre Quinerly,CB,Norfolk,VA,5'10'',170,East Carolina,,119,,,2015,East Carolina,72.0,220,,,
Colby Gore,WR,Little River,SC,6'0'',170,East Carolina,,748,,,2015,East Carolina,71.0,,,,
Taz Richardson,WR,Mauldin,SC,5'11'',183,East Carolina,,,,,2015,East Carolina,71.0,,,,
C.J. Maybin,S,Fort Lauderdale,FL,6'3'',195,East Carolina,,144,,,2015,East Carolina,71.0,,,,
Dalton Montgomery,OT,Corinth,TX,6'5'',250,East Carolina,,,,,2015,East Carolina,,,,,
Kyron Speller,DE,Virginia Beach,VA,6'0'',249,East Carolina,,,,,2015,East Carolina,,,,,
Tony Baird,ILB,Virginia Beach,VA,6'2'',210,East Carolina,,,,,2015,East Carolina,,,,,
James Summers,QB,Greensboro,NC,6'3'',205,East Carolina,,NR,,,2015,East Carolina,,,,,
Darius Wright,ILB,Irmo,SC,6'0'',222,East Carolina,,NR,,,2015,East Carolina,,,,,
Justin Sandifer,OT,Greenwood,MS,6'4'',310,East Carolina,,,,,2015,East Carolina,,,,,
Derrell Scott,RB,Knoxville,TN,5'11'',184,East Carolina,,,,,2015,East Carolina,,,,,
Traveon Freshwater,OLB,Elizabeth City,NC,6'2'',216,East Carolina,,41,271,26,2019,East Carolina,79,,,,
Demetrius Mauney,ATH,Forest City,NC,6'0'',191,East Carolina,,, None, None,2019,East Carolina,77,,,,
Jaquan McMillian,CB,Clemmons,NC,5'10'',165,East Carolina,,109,,,2019,East Carolina,75,,,,
C.J. Johnson,WR,Greenville,NC,6'1'',195,East Carolina,,154,571,53,2019,East Carolina,75,,,,
Bryan Gagg,QB-PP,Sarasota,FL,,196,East Carolina,,37,575,189,2019,East Carolina,75,,,,
Keziah Everett,DT,Farmville,NC,6'1'',320,East Carolina,,87,576,55,2019,East Carolina,75,,,,
Juan Powell,ATH,Atlanta,GA,6'0'',175,East Carolina,,131,,,2019,East Carolina,74,,,,
Jeremy Lewis,DE,Winterville,NC,6'3'',215,East Carolina,,171,619,60,2019,East Carolina,74,,,,
Immanuel Hickman,DE,Chesterfield,VA,6'2'',235,East Carolina,,173,,,2019,East Carolina,74,,,,
Jsi Hatfield,ATH,Graham,NC,5'11'',170,East Carolina,,145,667,66,2019,East Carolina,73,,,,
Alex Angus,Greensboro,NC,Page High School,6'0'',185,East Carolina,,, None, None,2019,East Carolina,73,,,,
Malik Fleming,CB,Athens,GA,5'9'',175,East Carolina,,139,686,148,2019,East Carolina,73,,,,
Trent Holler,OC,Latrobe,PA,6'2'',290,East Carolina,,15,180,32,2019,East Carolina,72,,,,
Patrick Nations,K,Walhalla,SC,5'10'',180,East Carolina,,47,724,31,2019,East Carolina,72,,,,
Bailey Malovic,OT (JC),Irmo,SC,Highland Community College,6'6'',72,East Carolina,NR, NR,,2019,East Carolina,280,,,,
Alex Flinn,QB-PP,Asheville,NC,A. C. Reynolds High School,6'1'',70,East Carolina,59,788,79,2019,East Carolina,210,,,,
Hozey Haji-Badri,DE (JC),Brooklyn,NY,ASA College,6'3'',70,East Carolina,25, None, None,2019,East Carolina,260,,,,
Chad Stephens,ILB,Greensboro,NC,Southeast Guilford High School,6'0'',70,East Carolina,52,801,82,2019,East Carolina,215,,,,
Nishad Strother,OG,Havelock,NC,Havelock High School,6'2'',69,East Carolina,116,812,84,2019,East Carolina,285,,,,
