Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,School
Carlos Wiggins,ATH,Plano,TX,5'8'',156,,New Mexico,,,,,2012,New Mexico,,,
Christian Rebhun,TE,Englewood,CO,6'5'',230,,New Mexico,,,,,2012,New Mexico,,,
Johnny Vizcaino,OG,San Antonio,TX,6'3'',290,,New Mexico,,,,,2012,New Mexico,,,
Paytron Hightower,DT,Dallas,TX,6'4'',260,,New Mexico,,,,,2012,New Mexico, NR, NR,
JaMarcus Young,CB,Englewood,CO,6'1'',175,,New Mexico,,NR,,,2012,New Mexico, NR, NR,
Chris Edling,TE,Corsicana,TX,6'2'',199,,New Mexico,,,,,2012,New Mexico,,,
David Orvick,OLB,Los Altos,CA,6'2'',217,,New Mexico,,NR,,,2012,New Mexico,,,
Bryan Oldenkamp,OT,Hesperia,CA,6'5'',280,,New Mexico,,,,,2012,New Mexico,,,
Rashad Rainey,OLB,Riverside,CA,6'3'',210,,New Mexico,,,,,2012,New Mexico,,,
Saqwan Edwards,WR,Alvin,TX,6'1'',190,,New Mexico,,,,,2012,New Mexico, None, None,
Beau Hott,OG,Plano,TX,6'3'',273,76,New Mexico,,175,,,2015,New Mexico,67,144,
Blair Manly,CB,Albuquerque,NM,6'1'',178,74,New Mexico,,230,,,2015,New Mexico,89,3,
Sadique Hayward,OLB,Los Angeles,CA,6'2'',200,0,New Mexico,,,,,2015,New Mexico,,,
Q' Drennan,WR,El Paso,TX,6'3'',177,0,New Mexico,,NR,,,2015,New Mexico,,,
Savon Rollison,WR,Dallas,TX,5'9'',179,0,New Mexico,,NR,,,2015,New Mexico,,,
Erik Beilman,TE-SA,San Antonio,TX,6'5'',218,0,New Mexico,,,,,2015,New Mexico, None, None,
Cody Baker,DE,Bellevue,WA,6'4'',255,0,New Mexico,,NR,,,2015,New Mexico, None, None,
Charlie Grammel,OG,Frisco,TX,6'3'',307,0,New Mexico,,,,,2015,New Mexico, None, None,
Anu Somoye,WR,Houston,TX,6'1'',184,0,New Mexico,,NR,,,2015,New Mexico,,,
Dyson Chmura,OLB,Waukesha,WI,6'3'',220,0,New Mexico,,,,,2015,New Mexico, None, None,
