Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team,University , Reg_rank, State_rank,School,Grade  
Irshad Stolden,WR,Rancho Cucamonga,CA,5'9'',170,,Rancho Cucamonga High School,,NR,NR,NR,2009,UNLV,,,,,
Thomas Kilgore,OT,Fresno,CA,6'4'',296,,San Joaquin Memorial High School,,NR,,,2009,UNLV,,,,,
Mark Barefield,WR,Mesquite,TX,6'1'',175,,North Mesquite High School,,NR,NR,NR,2009,UNLV,,,,,
John Therell,S,Las Vegas,NV,6'0'',170,,Bishop Gorman High School,,,,,2009,UNLV,,,,,
Marcus Sullivan,RB,North Las Vegas,NV,5'9'',165,,Cheyenne High School,,,,,2009,UNLV,,,,,
Brandon Babineaux,WR,Folsom,CA,6'4'',190,,Folsom High School,,NR,,,2009,UNLV,,,,,
Robert Waterman,OG,Stevenson Ranch,CA,6'4'',275,,West Ranch High School,,,,,2009,UNLV,,,,,
Andrew Mack,OG,Plano,TX,6'3'',280,,Plano West High School,,NR,NR,NR,2009,UNLV,,,,,
B.J. Bell,DE (JC),Santa Ana,CA,6'3'',250,,Santa Ana College,,,,,2009,UNLV,,,,,
Mike Grant,CB (JC),Laguna Creek,CA,5'11'',185,,Sierra College,,,,,2009,UNLV,,,,,
Warren Ziegler,CB (JC),San Leandro,CA,6'1'',180,,College of San Mateo,,NR,NR,NR,2009,UNLV,,,,,
Kenny Brown,CB (JC),Lancaster,CA,5'9'',180,,College of the Canyons,,,,,2009,UNLV,,,,,
Alex DeGiacomo,S (JC),Westminster,CA,6'1'',190,,El Camino College,,NR,,,2009,UNLV,,,,,
Taniela Maka,OLB,Long Beach,CA,6'1'',230,,78.0,UNLV,,,,2010,UNLV,,,,,
Alex Novosel,OT,Littleton,CO,6'6'',260,,75.0,UNLV,NR,NR,NR,2010,UNLV,,,,,
Taylor Spencer,WR,Las Vegas,NV,6'1'',190,,75.0,UNLV,141,,,2010,UNLV,,,,,
Ian Bobak,DE,Las Vegas,NV,6'4'',237,,74.0,UNLV,128,218,,2010,UNLV,,,,,
Nate Holloway,DT,North Las Vegas,NV,6'3'',320,,74.0,UNLV,,,,2010,UNLV,,,,,
Desmond Tautofi,DE,Las Vegas,NV,6'3'',270,,74.0,UNLV,147,257,NR,2010,UNLV,,,,,
Dionza Bradford,RB,Phelan,CA,6'0'',190,,74.0,UNLV,148,259,171,2010,UNLV,,,,,
Eric Tuiloma,S,Las Vegas,NV,5'11'',185,,73.0,UNLV,139,293,NR,2010,UNLV,,,,,
Sidney Hodge,CB,Las Vegas,NV,5'8'',160,,73.0,UNLV,,,,2010,UNLV,,,,,
Nolan Kohorst,K,Henderson,NV,5'11'',160,,72.0,UNLV,54,330,NR,2010,UNLV,,,,,
Kyle Anderson,ILB,Las Vegas,NV,6'2'',231,,71.0,UNLV,346,,,2010,UNLV,,,,,
Tyler Gaston,DT,North Las Vegas,NV,6'3'',250,,67.0,UNLV,203,,,2010,UNLV,,,,,
Brian Roth,OT,El Toro,CA,6'5'',277,,,UNLV,,,,2010,UNLV,,,,,
Taylor Barnhill,QB,Justin,TX,6'3'',190,,,UNLV,,,,2010,UNLV,,,,,
Kenneth Penny,ATH,Lancaster,TX,5'11'',154,,,UNLV,NR,NR,NR,2010,UNLV,,,,,
Tim Cornett,RB,Houston,TX,6'0'',190,,,UNLV,,,,2010,UNLV,,,,,
Perry Cooper,OLB,The Woodlands,TX,6'3'',220,,,UNLV,,,,2010,UNLV,,,,,
Kurt Davis,WR,Compton,CA,6'5'',200,,,UNLV,,,,2010,UNLV,,,,,
Taj Hasson,CB,Los Angeles,CA,6'1'',175,,,UNLV,,,,2010,UNLV,,,,,
Irshad Stolden,WR,Rancho Cucamonga,CA,5'9'',160,,,UNLV,,,,2010,UNLV,,,,,
Marcus Sullivan,WR,North Las Vegas,NV,5'10'',170,,,UNLV,,,,2010,UNLV,,,,,
Kjelby Oiland,DT,Spokane,WA,6'4'',270,,,UNLV,,,,2010,UNLV,,,,,
Cameron Jefferson,OT,Las Vegas,NV,6'5'',250,,,UNLV,,,,2010,UNLV,,,,,
Jordan Sparkman,TE,San Diego,CA,6'5'',230,,,UNLV,,,,2010,UNLV,,,,,
Anthony Vidal,TE,Huntington Beach,CA,6'5'',250,,,UNLV,NR,NR,NR,2010,UNLV,,,,,
Elijhaa Penny,ATH,Norwalk,CA,6'1'',235,78.0,UNLV,,,,,2011,UNLV,,,,,
Tyler Bergsten,TE,Phoenix,AZ,6'3'',225,75.0,UNLV,,,,,2011,UNLV,,,,,
Nick Sherry,QB,Petaluma,CA,6'4'',210,74.0,UNLV,,232,149, None,2011,UNLV,,,,,
Patrick Carroll,OT,La Canada,CA,6'4'',265,63.0,UNLV,,63,,,2011,UNLV,,,,,
Jake Phillips,DE,Lakewood,CA,6'4'',235,,UNLV,,6,,,2011,UNLV,,,,,
